distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
5-4,2,KNN,DeepONMF_H2,1,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
5-4,2,KNN,DeepONMF_H2,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
5-4,2,KNN,DeepONMF_H2,3,156,33,7,4,0.945,0.975,0.825,0.9570552147239264,0.8999999999999999
5-4,2,KNN,DeepONMF_H2,4,160,35,5,0,0.975,1.0,0.875,0.9696969696969697,0.9375
5-4,2,KNN,DeepONMF_H2,5,159,35,5,1,0.97,0.99375,0.875,0.9695121951219512,0.934375
5-4,2,KNN,DeepONMF_W,1,152,34,6,8,0.93,0.95,0.85,0.9620253164556962,0.8999999999999999
5-4,2,KNN,DeepONMF_W,2,144,34,6,16,0.89,0.9,0.85,0.96,0.875
5-4,2,KNN,DeepONMF_W,3,150,35,5,10,0.925,0.9375,0.875,0.967741935483871,0.90625
5-4,2,KNN,DeepONMF_W,4,149,33,7,11,0.91,0.93125,0.825,0.9551282051282052,0.878125
5-4,2,KNN,DeepONMF_W,5,150,35,5,10,0.925,0.9375,0.875,0.967741935483871,0.90625
5-4,2,SVM,DeepONMF_H2,1,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
5-4,2,SVM,DeepONMF_H2,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
5-4,2,SVM,DeepONMF_H2,3,155,37,3,5,0.96,0.96875,0.925,0.9810126582278481,0.946875
5-4,2,SVM,DeepONMF_H2,4,156,35,5,4,0.955,0.975,0.875,0.968944099378882,0.925
5-4,2,SVM,DeepONMF_H2,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
5-4,2,SVM,DeepONMF_W,1,151,39,1,9,0.95,0.94375,0.975,0.993421052631579,0.959375
5-4,2,SVM,DeepONMF_W,2,146,38,2,14,0.92,0.9125,0.95,0.9864864864864865,0.9312499999999999
5-4,2,SVM,DeepONMF_W,3,148,37,3,12,0.925,0.925,0.925,0.9801324503311258,0.925
5-4,2,SVM,DeepONMF_W,4,148,38,2,12,0.93,0.925,0.95,0.9866666666666667,0.9375
5-4,2,SVM,DeepONMF_W,5,149,36,4,11,0.925,0.93125,0.9,0.9738562091503268,0.915625
5-4,2,UjaNet,DeepONMF_H2,1,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
5-4,2,UjaNet,DeepONMF_H2,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
5-4,2,UjaNet,DeepONMF_H2,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
5-4,2,UjaNet,DeepONMF_H2,4,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
5-4,2,UjaNet,DeepONMF_H2,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
5-4,2,UjaNet,DeepONMF_W,1,152,39,1,8,0.955,0.95,0.975,0.9934640522875817,0.9624999999999999
5-4,2,UjaNet,DeepONMF_W,2,150,37,3,10,0.935,0.9375,0.925,0.9803921568627451,0.93125
5-4,2,UjaNet,DeepONMF_W,3,151,32,8,9,0.915,0.94375,0.8,0.949685534591195,0.871875
5-4,2,UjaNet,DeepONMF_W,4,149,40,0,11,0.945,0.93125,1.0,1.0,0.965625
5-4,2,UjaNet,DeepONMF_W,5,150,37,3,10,0.935,0.9375,0.925,0.9803921568627451,0.93125
