,N,AS,MR,MS,MVP
N,97.0,0.0,1.5,0.0,1.5
AS,0.5,96.5,2.5,0.0,0.5
MR,0.0,2.5,93.5,2.0,2.0
MS,0.0,1.5,1.5,93.5,3.5000000000000004
MVP,3.5000000000000004,3.0,3.0,2.5,88.0
