indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h
0,6-11-20,3,0.16174895128177588,20x212,0.053832100005820394,6,0.08891150300397123,0.27927779149305404,11,0.05519915264022493,0.12197178955389262,20,0.049809214933934885,0.0790917718155734
1,6-11-20,3,0.16167916871290755,20x212,0.048684699984733015,6,0.07639939741763906,0.312602599019295,11,0.07141575417786511,0.19168053307724606,20,0.0682434907563,0.12041372361423976
2,6-11-20,3,0.17462116104687186,20x212,0.04625849999138154,6,0.10332213690305678,0.3468304654135078,11,0.06148113638811711,0.16500028425172167,20,0.05165240595425738,0.11502845457606384
3,6-11-20,3,0.15931086212630713,20x212,0.05268150000483729,6,0.07537077740809227,0.4416587153437289,11,0.11027238144187074,0.21863256156467467,20,0.05598861056997629,0.11475837334853548
4,6-11-20,3,0.16549749882674522,20x212,0.041880999982822686,6,0.08054980974593184,0.2795156405338964,11,0.0513707502422546,0.15595357731424614,20,0.07010099270165533,0.10558304872550918
5,6-11-20,3,0.16566054179800568,20x212,0.0492114000080619,6,0.09678423110536725,0.303151644559426,11,0.05070492002727548,0.19314125929172934,20,0.07203042628778379,0.13127668794486577
6,6-11-20,3,0.147888475150645,20x212,0.04536970000481233,6,0.07602479808216774,0.3327093203429998,11,0.04882449983895613,0.1997727768888056,20,0.04790050706857082,0.1107214986534926
7,6-11-20,3,0.1523775873779352,20x212,0.04515089999767952,6,0.08848421002791358,0.3534830214013934,11,0.06169023582188192,0.1741784431139401,20,0.04559020431183751,0.10993302040029387
8,6-11-20,3,0.17963204911866754,20x212,0.046134900010656565,6,0.10269316421288792,0.3721410168180674,11,0.07400867152134749,0.16285513045022404,20,0.05749165436227111,0.09912639271611332
9,6-11-20,3,0.16532073156027333,20x212,0.05426390000502579,6,0.09444344924711995,0.288350861575694,11,0.052095775022863805,0.12687191602142975,20,0.0539048847454647,0.0762715068999787
10,6-11-20,3,0.1765302865710709,20x212,0.056682499998714775,6,0.08266574929802722,0.34258607394040536,11,0.09207534396138813,0.1656921003861552,20,0.07088682807524128,0.08040110575954186
11,6-11-20,3,0.1674004527626138,20x212,0.054025799996452406,6,0.09884728616206001,0.2786076404666483,11,0.05311390129043899,0.1503592335008109,20,0.04721356043622599,0.10662973136494577
12,6-11-20,3,0.15198858732646967,20x212,0.046576599997933954,6,0.07397518291254834,0.263679737564317,11,0.050317329010252876,0.1408370175357886,20,0.04739520085445851,0.11047854314934279
13,6-11-20,3,0.16003541964176354,20x212,0.042467799998121336,6,0.09298867959687013,0.303828564315363,11,0.04773631871353982,0.14559507085255557,20,0.046814778281308686,0.08919216626661348
14,6-11-20,3,0.16262806005052033,20x212,0.040300299995578825,6,0.10091470483561998,0.28659101237631307,11,0.05064814650561223,0.1685339386962894,20,0.047256934360304516,0.13953759998246654
15,6-11-20,3,0.1675572595312784,20x212,0.03840039999340661,6,0.08968091387195644,0.32550898001704454,11,0.06499061537885052,0.1377671670783222,20,0.05200333568852464,0.10347179488692874
16,6-11-20,3,0.15980846011739372,20x212,0.04990889999317005,6,0.08484839563518567,0.24589277497847833,11,0.04957586581465683,0.160137592960988,20,0.047031549777129394,0.11947613531728393
17,6-11-20,3,0.16200642659872755,20x212,0.0495459999947343,6,0.09649992603651394,0.38358801525231134,11,0.06003031959623722,0.1882509043577548,20,0.04874687892063163,0.1271778875026161
18,6-11-20,3,0.15611697295151486,20x212,0.04616640001768246,6,0.08035247102938944,0.3285731374547772,11,0.04856849904643612,0.16462418850579316,20,0.05280896874102266,0.12017100763562077
19,6-11-20,3,0.17748043700577154,20x212,0.038590700016357005,6,0.1143793544357479,0.2780710076965148,11,0.05164689938105142,0.156605274805977,20,0.053541094714745704,0.10086063987915715
20,6-11-20,3,0.1683146709584488,20x212,0.037777400022605434,6,0.09260049935381674,0.3033042696961774,11,0.09401296734737562,0.17531820420396452,20,0.048768833896993796,0.13821812053531732
21,6-11-20,3,0.15808986945730202,20x212,0.04869299998972565,6,0.08541421376177613,0.3624433793550364,11,0.05219292729720134,0.17131480666462776,20,0.049055814905489034,0.10461655501836095
22,6-11-20,3,0.164524868601961,20x212,0.04575190000468865,6,0.08852859493821581,0.26058977427010255,11,0.04826538674995274,0.1515879445252957,20,0.05448313948162179,0.10341482798317286
