epoca,loss_train,loss_val
1,1.3451363381586576,0.6200353503227234
2,0.829576858564427,0.45779654383659363
3,0.5571432803806505,0.39616915583610535
4,0.504274595724909,0.34367284178733826
5,0.3673901573607796,0.3333050608634949
6,0.27632379571073934,0.29160916805267334
7,0.24701377381815723,0.23586295545101166
8,0.23347748865030313,0.26818859577178955
9,0.21600139077360692,0.20865118503570557
10,0.18010409455746412,0.22432638704776764
11,0.14010560197608643,0.25501370429992676
12,0.14391880529001355,0.24388158321380615
13,0.11960856167991694,0.21938665211200714
14,0.0910690043758797,0.2479553371667862
15,0.10790400778090484,0.22142857313156128
16,0.10223629820699755,0.2678089737892151
17,0.09857445482875367,0.23316927254199982
18,0.06965050501994004,0.24081380665302277
19,0.054504303188112224,0.24860994517803192
