distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,SVM,STFT,0.9884,0.0076681158050723,0.971,0.0191702895126808,0.99275,0.0047925723781702,0.9718738658438036,0.0186867988160518,0.981875,0.0119814309454254
No aplica,SVM,MFCC,0.996,0.0024494897427832,0.99,0.0061237243569578,0.9975,0.0015309310892394,0.9903764603707884,0.0057992145834369,0.99375,0.0038273277230987
No aplica,SVM,MelSpectrogram,0.9892,0.0057619441163552,0.973,0.014404860290888,0.99325,0.003601215072722,0.9738206826873872,0.0144562340005813,0.983125,0.0090030376818049
No aplica,SVM,LogMelSpectrogram,0.99,0.0028284271247462,0.975,0.0070710678118655,0.99375,0.0017677669529663,0.9754662641594608,0.0069633493233487,0.984375,0.0044194173824159
9-8-7,SVM,DeepONMF_W,0.882,0.0108627804912002,0.705,0.0271569512280005,0.92625,0.0067892378070001,0.7086501547289049,0.0318913727803672,0.815625,0.0169730945175002
15-10-5,SVM,DeepONMF_W,0.8864000000000001,0.0118659175793531,0.716,0.0296647939483826,0.929,0.0074161984870956,0.7211477914250988,0.0347273870692733,0.8225,0.0185404962177391
10-6-4,SVM,DeepONMF_W,0.8948,0.0071554175279993,0.737,0.0178885438199982,0.93425,0.0044721359549995,0.746889822840441,0.0220347930290794,0.835625,0.0111803398874989
8-5-3,SVM,DeepONMF_W,0.8948,0.0118827606220104,0.737,0.0297069015550258,0.93425,0.0074267253887564,0.7475231932915423,0.0320085121269674,0.835625,0.0185668134718911
9-8-7,SVM,DeepONMF_H3,0.954,0.0098994949366117,0.885,0.0247487373415291,0.97125,0.0061871843353822,0.8892995236970721,0.0240309622606102,0.928125,0.0154679608384557
15-10-5,SVM,DeepONMF_H3,0.9544,0.0101390334845093,0.8859999999999999,0.0253475837112731,0.9715,0.0063368959278182,0.8881896176531983,0.0266702793012641,0.92875,0.0158422398195457
10-6-4,SVM,DeepONMF_H3,0.9568,0.0083186537372342,0.892,0.0207966343430854,0.973,0.0051991585857713,0.8951278959573938,0.0217275256838564,0.9325,0.0129978964644283
8-5-3,SVM,DeepONMF_H3,0.9608,0.0055856960175075,0.902,0.0139642400437689,0.9755,0.0034910600109422,0.904773149056212,0.0166773044888905,0.93875,0.0087276500273555
