distribucion,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
15-10-5,KNN,DeepONMF_W,2,PROMEDIO_MACRO,107,707,93,93,0.8140000000000001,0.5349999999999999,0.8837499999999998,0.5568199973372387,0.709375,200
15-10-5,KNN,DeepONMF_W,3,PROMEDIO_MACRO,111,711,89,89,0.8219999999999998,0.555,0.8887499999999999,0.5846996337302882,0.721875,200
15-10-5,KNN,DeepONMF_W,4,PROMEDIO_MACRO,116,716,84,84,0.8320000000000001,0.58,0.8950000000000001,0.6032058525278865,0.7375,200
15-10-5,KNN,DeepONMF_W,5,PROMEDIO_MACRO,128,728,72,72,0.8559999999999999,0.6399999999999999,0.91,0.6667864225024468,0.7749999999999999,200
10-6-4,KNN,DeepONMF_W,1,PROMEDIO_MACRO,133,733,67,67,0.866,0.665,0.91625,0.6850787912495365,0.790625,200
10-6-4,KNN,DeepONMF_W,2,PROMEDIO_MACRO,112,712,88,88,0.8240000000000001,0.5599999999999999,0.8899999999999999,0.584474614061939,0.725,200
10-6-4,KNN,DeepONMF_W,3,PROMEDIO_MACRO,130,730,70,70,0.86,0.65,0.9125,0.6723670199532268,0.78125,200
10-6-4,KNN,DeepONMF_W,4,PROMEDIO_MACRO,128,728,72,72,0.8560000000000001,0.6399999999999999,0.91,0.6614453463203464,0.775,200
10-6-4,KNN,DeepONMF_W,5,PROMEDIO_MACRO,122,722,78,78,0.8440000000000001,0.6100000000000001,0.9025,0.6440443510737628,0.75625,200
8-5-3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,129,729,71,71,0.858,0.6449999999999999,0.91125,0.6506464646464647,0.778125,200
8-5-3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,123,723,77,77,0.8460000000000001,0.615,0.90375,0.654726980069307,0.7593749999999999,200
8-5-3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,136,736,64,64,0.8720000000000001,0.68,0.9200000000000002,0.7145085860431128,0.8,200
8-5-3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,131,731,69,69,0.8619999999999999,0.655,0.91375,0.6760252740091449,0.784375,200
8-5-3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,130,730,70,70,0.8600000000000001,0.65,0.9125,0.6908617698091382,0.78125,200
9-8-7,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,152,752,48,48,0.904,0.76,0.94,0.7936305512193754,0.85,200
9-8-7,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,153,753,47,47,0.906,0.765,0.94125,0.8055348244726688,0.853125,200
9-8-7,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,140,740,60,60,0.8800000000000001,0.7,0.925,0.7480746746401395,0.8125,200
9-8-7,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,157,757,43,43,0.914,0.7849999999999999,0.94625,0.8162128833096574,0.865625,200
9-8-7,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,147,747,53,53,0.8939999999999999,0.735,0.93375,0.8080092592592593,0.834375,200
15-10-5,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8550656761412576,0.896875,200
15-10-5,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,159,759,41,41,0.918,0.7949999999999999,0.94875,0.820895849072253,0.871875,200
15-10-5,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,152,752,48,48,0.904,0.76,0.94,0.7880618053673082,0.85,200
15-10-5,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,160,760,40,40,0.9200000000000002,0.8,0.95,0.8135149374002321,0.875,200
15-10-5,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,157,757,43,43,0.914,0.7849999999999999,0.94625,0.8332378165312948,0.865625,200
10-6-4,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.8558873701537859,0.9,200
10-6-4,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8484959981878587,0.896875,200
10-6-4,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,162,762,38,38,0.924,0.8099999999999999,0.9525,0.8146568225979991,0.88125,200
10-6-4,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,168,768,32,32,0.936,0.8399999999999999,0.9600000000000002,0.8437743006164059,0.9,200
10-6-4,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.8671406371406372,0.9,200
8-5-3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8566386554621849,0.896875,200
8-5-3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,168,768,32,32,0.936,0.8400000000000001,0.96,0.8558958849410285,0.9,200
8-5-3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,170,770,30,30,0.94,0.85,0.9625,0.8613327343516023,0.90625,200
8-5-3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8392649572649573,0.890625,200
8-5-3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,169,769,31,31,0.938,0.845,0.96125,0.864617856497723,0.903125,200
9-8-7,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,171,771,29,29,0.9420000000000002,0.8549999999999999,0.96375,0.8602795626442843,0.909375,200
9-8-7,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,171,771,29,29,0.942,0.8549999999999999,0.96375,0.8610359897971879,0.909375,200
9-8-7,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,162,762,38,38,0.924,0.8100000000000002,0.9525,0.8198820922394562,0.88125,200
9-8-7,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,165,765,35,35,0.93,0.825,0.95625,0.8275575698097117,0.890625,200
9-8-7,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,167,767,33,33,0.934,0.835,0.95875,0.8389593254581813,0.896875,200
15-10-5,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.965,0.8687882802301408,0.9125,200
