distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
13-5,2,KNN,DeepONMF_H2,1,155,34,6,5,0.945,0.96875,0.85,0.9627329192546584,0.909375
13-5,2,KNN,DeepONMF_H2,2,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
13-5,2,KNN,DeepONMF_H2,3,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
13-5,2,KNN,DeepONMF_H2,4,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
13-5,2,KNN,DeepONMF_H2,5,159,34,6,1,0.965,0.99375,0.85,0.9636363636363636,0.921875
13-5,2,KNN,DeepONMF_W,1,146,32,8,14,0.89,0.9125,0.8,0.948051948051948,0.85625
13-5,2,KNN,DeepONMF_W,2,144,33,7,16,0.885,0.9,0.825,0.9536423841059603,0.8625
13-5,2,KNN,DeepONMF_W,3,147,28,12,13,0.875,0.91875,0.7,0.9245283018867925,0.809375
13-5,2,KNN,DeepONMF_W,4,150,32,8,10,0.91,0.9375,0.8,0.9493670886075949,0.86875
13-5,2,KNN,DeepONMF_W,5,152,28,12,8,0.9,0.95,0.7,0.926829268292683,0.825
13-5,2,SVM,DeepONMF_H2,1,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
13-5,2,SVM,DeepONMF_H2,2,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
13-5,2,SVM,DeepONMF_H2,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
13-5,2,SVM,DeepONMF_H2,4,155,37,3,5,0.96,0.96875,0.925,0.9810126582278481,0.946875
13-5,2,SVM,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
13-5,2,SVM,DeepONMF_W,1,147,39,1,13,0.93,0.91875,0.975,0.9932432432432432,0.9468749999999999
13-5,2,SVM,DeepONMF_W,2,147,38,2,13,0.925,0.91875,0.95,0.9865771812080537,0.934375
13-5,2,SVM,DeepONMF_W,3,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
13-5,2,SVM,DeepONMF_W,4,148,38,2,12,0.93,0.925,0.95,0.9866666666666667,0.9375
13-5,2,SVM,DeepONMF_W,5,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
13-5,2,UjaNet,DeepONMF_H2,1,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
13-5,2,UjaNet,DeepONMF_H2,2,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
13-5,2,UjaNet,DeepONMF_H2,3,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
13-5,2,UjaNet,DeepONMF_H2,4,155,39,1,5,0.97,0.96875,0.975,0.9935897435897436,0.971875
13-5,2,UjaNet,DeepONMF_H2,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
13-5,2,UjaNet,DeepONMF_W,1,155,39,1,5,0.97,0.96875,0.975,0.9935897435897436,0.971875
13-5,2,UjaNet,DeepONMF_W,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
13-5,2,UjaNet,DeepONMF_W,3,153,36,4,7,0.945,0.95625,0.9,0.9745222929936306,0.9281250000000001
13-5,2,UjaNet,DeepONMF_W,4,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
13-5,2,UjaNet,DeepONMF_W,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
