representacion,muestras,rasgos,silhouette_features,davies_bouldin_features,silhouette_tsne,davies_bouldin_tsne
DeepONMF_W,1000,882,-0.04996791875625833,6.181557131158812,0.04827187955379486,3.089659984570655
DeepONMF_H3,1000,1484,-0.05082895490215101,7.595068835180733,0.049943145364522934,4.393653921430761
DeepONMF_Mejorado,1000,5,0.07703256160023861,3.134013234298527,0.13811244070529938,3.185537342075685
DeepONMF_F8,1000,5,0.18796974922029966,1.6338762707739547,0.14477595686912537,1.8525399827607067
