clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
KNN,DeepONMF_F8,0.9890000000000001,0.004183300132670382,0.9949999999999999,0.005229125165837957,0.9650000000000001,0.03791437722025772,0.9913880368098159,0.00929669598869519,0.9800000000000001,0.016624295097837957
KNN,DeepONMF_H3,0.9259999999999999,0.015572411502397436,0.98125,0.011692679333668585,0.705,0.051234753829797974,0.9301723143308758,0.011506593281629849,0.843125,0.027722818895271086
KNN,DeepONMF_Mejorado,0.986,0.006519202405202657,0.99,0.0034232659844072796,0.97,0.03259601202601324,0.9925388198757764,0.008096917881694367,0.9800000000000001,0.016026101756197585
KNN,DeepONMF_W,0.9269999999999999,0.018907670401189007,0.9362499999999999,0.018957188610128867,0.89,0.037914377220257735,0.9714872733111773,0.009762755866740013,0.913125,0.023634588001486326
KNN,LogMelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
KNN,MFCC,0.998,0.002738612787525811,0.9974999999999999,0.0034232659844073057,1.0,0.0,1.0,0.0,0.99875,0.0017116329922036635
KNN,MelSpectrogram,0.991,0.006519202405202641,0.9949999999999999,0.005229125165837957,0.975,0.025000000000000022,0.9937888198757765,0.006211180124223614,0.985,0.012770510463564087
KNN,STFT,0.991,0.006519202405202641,0.9949999999999999,0.005229125165837957,0.975,0.025000000000000022,0.9937888198757765,0.006211180124223614,0.985,0.012770510463564087
SVM,DeepONMF_F8,0.983,0.004472135954999597,0.9925,0.00684653196881457,0.945,0.02091650066335182,0.9863731619556239,0.005104066718922042,0.96875,0.008838834764831799
SVM,DeepONMF_H3,0.966,0.01193733638631333,0.97625,0.009270248108869589,0.925,0.02499999999999997,0.9811474006846588,0.006310518790783821,0.9506249999999999,0.016594897559189695
SVM,DeepONMF_Mejorado,0.976,0.011937336386313334,0.9824999999999999,0.012022115038544582,0.95,0.017677669529663636,0.9874280491145451,0.004520214214211936,0.9662499999999999,0.013147302479976579
SVM,DeepONMF_W,0.9359999999999999,0.010246950765959556,0.9324999999999999,0.008149003006503315,0.95,0.02499999999999996,0.9867804181275158,0.006592176069189238,0.9412499999999999,0.015213326805797626
SVM,LogMelSpectrogram,0.999,0.002236067977499798,0.99875,0.00279508497187472,1.0,0.0,1.0,0.0,0.999375,0.0013975424859373994
SVM,MFCC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
SVM,MelSpectrogram,0.9879999999999999,0.0075828754440515666,0.9862500000000001,0.008149003006503336,0.9949999999999999,0.011180339887498962,0.9987341772151899,0.0028304657943035542,0.990625,0.007967217989988751
SVM,STFT,0.986,0.005477225575051712,0.985,0.005590169943749506,0.99,0.013693063937629143,0.9974763155799697,0.0034557258694108152,0.9875,0.007654655446197458
UjaNet,DeepONMF_F8,0.9810000000000001,0.0041833001326703825,0.9925,0.006846531968814565,0.9349999999999999,0.0335410196624968,0.9839792088752004,0.008100132492363465,0.9637499999999999,0.01425219281373923
UjaNet,DeepONMF_H3,0.9879999999999999,0.009746794344808973,0.99125,0.007126096406869616,0.975,0.02500000000000002,0.9937419430446501,0.006250512709570745,0.983125,0.015084397982683956
UjaNet,DeepONMF_Mejorado,0.985,0.0061237243569579845,0.9962500000000001,0.0034232659844072575,0.9400000000000001,0.02236067977499782,0.9851849029229663,0.005478822398442132,0.968125,0.011981430945425529
UjaNet,DeepONMF_W,0.9650000000000001,0.010000000000000009,0.97875,0.007126096406869612,0.9099999999999999,0.03791437722025772,0.9775912288771537,0.009270913545408226,0.944375,0.01968998000252922
UjaNet,LogMelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
UjaNet,MFCC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
UjaNet,MelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
UjaNet,STFT,0.999,0.00223606797749978,1.0,0.0,0.9949999999999999,0.011180339887498962,0.9987577639751553,0.0027777241956519075,0.9974999999999999,0.005590169943749467
