,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,35,0,3,1,1
real_AS,0,34,4,0,2
real_MR,0,3,30,1,6
real_MS,0,3,7,26,4
real_MVP,4,3,8,1,24
