,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,0,1,1,1
real_AS,0,36,3,1,0
real_MR,0,1,39,0,0
real_MS,0,2,1,36,1
real_MVP,1,1,4,2,32
