comparación,distancia
N-AS,0.3648372423031847
N-MR,0.15030611847131525
N-MS,0.035736935384541035
N-MVP,0.20263772595242502
AS-MR,0.21453112383186945
AS-MS,0.32910030691864367
AS-MVP,0.1621995163507597
MR-MS,0.11456918308677422
MR-MVP,0.052331607481109765
MS-MVP,0.16690079056788398
