,N,AS,MR,MS,MVP
N,98.5,0.0,0.5,0.5,0.5
AS,0.0,94.0,3.5000000000000004,0.5,2.0
MR,0.0,2.5,94.0,2.0,1.5
MS,0.0,0.5,1.0,94.5,4.0
MVP,1.5,2.5,3.0,2.0,91.0
