,N,AS,MR,MS,MVP
N,94.5,0.0,0.5,0.0,5.0
AS,0.0,95.0,2.5,1.0,1.5
MR,1.0,5.0,90.0,3.5000000000000004,0.5
MS,0.5,1.0,2.0,93.0,3.5000000000000004
MVP,5.0,2.5,2.0,1.5,89.0
