indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,sin_regularizacion,error_final,forma_h,forma_w,segundos
0,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2738680318780414,7x212,126x7,0.05117150000296533
1,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2734529916687238,7x212,126x7,0.038476299960166216
2,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27265792892647117,7x212,126x7,0.03685460006818175
3,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27645102807560784,7x212,126x7,0.04044240014627576
4,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27526486558688285,7x212,126x7,0.04298289981670678
5,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2767351828600112,7x212,126x7,0.03660480002872646
6,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27367146486707317,7x212,126x7,0.040307800052687526
7,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2757845913986582,7x212,126x7,0.03485030005685985
8,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27573906462336295,7x212,126x7,0.03841329994611442
9,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27845657078067837,7x212,126x7,0.035606499994173646
10,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2758683160868839,7x212,126x7,0.03708969987928867
11,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27777759987748096,7x212,126x7,0.03537459997460246
12,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27315504855640305,7x212,126x7,0.03473309986293316
13,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27601773630072507,7x212,126x7,0.04011099995113909
14,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2779451686555647,7x212,126x7,0.03541889996267855
15,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2745161516389685,7x212,126x7,0.03598839999176562
16,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2785148540698537,7x212,126x7,0.036922100000083447
17,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27755069810188376,7x212,126x7,0.039565099868923426
18,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27849803075252066,7x212,126x7,0.03819890017621219
19,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27492612912820946,7x212,126x7,0.0368707999587059
20,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27392455691274575,7x212,126x7,0.038042400032281876
21,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27594825819998375,7x212,126x7,0.04770789993926883
22,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27220103911408616,7x212,126x7,0.03934730007313192
23,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2739243421395243,7x212,126x7,0.03641800000332296
24,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2807904713699093,7x212,126x7,0.050422800006344914
25,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2764722176165999,7x212,126x7,0.03746949997730553
26,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2743972338886632,7x212,126x7,0.03615779988467693
27,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27591880021984083,7x212,126x7,0.043028999818488955
28,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27679556358932067,7x212,126x7,0.04382379981689155
29,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2772664230299783,7x212,126x7,0.040320999920368195
30,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27491120049444506,7x212,126x7,0.037803899962455034
31,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.276836301053888,7x212,126x7,0.03913629986345768
32,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2748256421613577,7x212,126x7,0.0361631999257952
33,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2739853557331228,7x212,126x7,0.040577900130301714
34,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27405619343290294,7x212,126x7,0.03665210003964603
35,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27400234128143436,7x212,126x7,0.038042400032281876
36,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2344750819525153,7x212,126x7,0.039412699872627854
37,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27563332260790563,7x212,126x7,0.03760199993848801
38,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27588659306548746,7x212,126x7,0.03854320012032986
39,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27571179406342494,7x212,126x7,0.0385685998480767
40,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27142545593076073,7x212,126x7,0.041997799882665277
41,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2723174672078955,7x212,126x7,0.04035340016707778
42,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.26941559798517467,7x212,126x7,0.03819880005903542
43,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27024692806325135,7x212,126x7,0.040605799993500113
44,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27195604851956673,7x212,126x7,0.03780299983918667
45,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27009138457122256,7x212,126x7,0.03592639998532832
46,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.26873457683339397,7x212,126x7,0.043082599993795156
47,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2708703184677782,7x212,126x7,0.0404600000474602
48,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2708610360410408,7x212,126x7,0.042899199994280934
49,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27159517081296086,7x212,126x7,0.046475299866870046
50,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.26913715918461856,7x212,126x7,0.046136399963870645
51,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27070632592420096,7x212,126x7,0.04816820006817579
52,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27251048653933463,7x212,126x7,0.04615200008265674
53,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27220831528313494,7x212,126x7,0.07446589996106923
54,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2729834968190554,7x212,126x7,0.04212039988487959
55,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27355591230590764,7x212,126x7,0.03848810005001724
56,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.26727943748368865,7x212,126x7,0.03857380012050271
57,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2709966143065729,7x212,126x7,0.04647960001602769
58,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2687511225939377,7x212,126x7,0.041517100064083934
59,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2672105042820691,7x212,126x7,0.043797099962830544
60,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.26983376952710886,7x212,126x7,0.06075190007686615
61,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.26965068101168427,7x212,126x7,0.05363280000165105
62,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27001046102474124,7x212,126x7,0.05088569992221892
63,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.26881552373950574,7x212,126x7,0.04200630006380379
64,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.26996133012924484,7x212,126x7,0.04410699987784028
65,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2705856497472614,7x212,126x7,0.04070659982971847
66,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.26986964725303964,7x212,126x7,0.04224439989775419
67,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2714134544786353,7x212,126x7,0.048540899995714426
68,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27122035854759596,7x212,126x7,0.04353339993394911
69,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27247538263035176,7x212,126x7,0.04385380004532635
70,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2732146292980658,7x212,126x7,0.04229840007610619
71,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2722307809516304,7x212,126x7,0.04352549999020994
72,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27085131592281614,7x212,126x7,0.050302699906751513
73,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27271350117582965,7x212,126x7,0.05752840009517968
74,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2737960651000107,7x212,126x7,0.05507420003414154
75,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27330668523318535,7x212,126x7,0.0564236999489367
76,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2738352503127349,7x212,126x7,0.03859740006737411
77,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2741753226562346,7x212,126x7,0.04284700006246567
78,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27376077694058853,7x212,126x7,0.036479400005191565
79,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2733710609903217,7x212,126x7,0.03581349994055927
80,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2719349081546647,7x212,126x7,0.04256019997410476
81,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2706940618576673,7x212,126x7,0.04422679985873401
82,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27170632857093896,7x212,126x7,0.0487742000259459
83,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.2736260582115491,7x212,126x7,0.04133689985610545
84,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27182537735549755,7x212,126x7,0.03633649996481836
85,SNR_5db,DeepONMF,9-8-7,3,0.05,False,0.27216279514562347,7x212,126x7,0.038493100088089705
