epoca,loss_train,loss_val
1,0.4174950891419461,0.18334431946277618
2,0.1947310102833925,0.07723530381917953
3,0.1315085504657442,0.07280930131673813
4,0.1243800521264539,0.041127320379018784
5,0.10794586492518551,0.0673055425286293
6,0.06911973897857886,0.053439412266016006
7,0.05707263694555303,0.025971123948693275
8,0.05469776264745681,0.05122432857751846
9,0.04249340114581987,0.031049909070134163
10,0.04094431724929324,0.028359277173876762
11,0.03906078901529422,0.04927913844585419
12,0.020156715979642047,0.02431653067469597
13,0.02823437660653757,0.02259843610227108
14,0.016707648351869192,0.025870945304632187
15,0.03709647766122783,0.041040368378162384
16,0.025472884309220047,0.021867388859391212
17,0.012199010645943531,0.034931719303131104
18,0.011978509847765688,0.02481745555996895
19,0.01692651211483041,0.021421633660793304
20,0.004654439376425121,0.028288789093494415
21,0.01675989497215668,0.03711264953017235
22,0.010746832349037791,0.0459708645939827
23,0.0041891561464582295,0.06833105534315109
24,0.0016379731616694606,0.03828244283795357
25,0.0008560800832645608,0.05110878124833107
26,0.009091593301282648,0.01030919048935175
27,0.023253647808737964,0.1098160445690155
28,0.024009786306171958,0.10018829256296158
29,0.00869698870698549,0.025726616382598877
30,0.015472903731787674,0.033843230456113815
