,N,AS,MR,MS,MVP
N,96.5,0.0,2.0,0.0,1.5
AS,0.0,96.5,2.5,0.5,0.5
MR,0.0,2.5,94.5,2.0,1.0
MS,0.5,1.5,1.0,92.5,4.5
MVP,5.0,3.0,2.0,2.5,87.5
