metodo,muestras,rasgos_originales,rasgos_entrada_tsne,perplexity,silhouette_features,davies_bouldin_features,silhouette_tsne,davies_bouldin_tsne
CNN,951,64,50,30,0.060900678279465895,4.187325051404232,0.1105647012591362,3.6185614210660146
DWT,951,18,18,30,0.08435497719101517,3.795020216945636,0.1267702430486679,16.352727902954232
MFCC,951,13,13,30,0.16059857942595437,3.822048983830618,0.17280295491218567,6.000057463403192
STFT,951,252,50,30,0.06133561994203719,3.5896332076258224,0.14778055250644684,3.570267782013287
Deep-ONMF normal,951,7,7,30,0.08841388738122134,3.1704652327764498,0.1907327026128769,1.7910105910733591
Deep-ONMF mejorado,951,5,5,30,0.1828798340990359,2.2698923598117706,0.20656530559062958,2.0001072388886394
