,N,AS,MR,MS,MVP
N,96.5,0.0,0.5,1.0,2.0
AS,0.5,96.0,2.0,0.5,1.0
MR,2.5,4.5,89.5,2.0,1.5
MS,0.5,1.0,0.5,95.5,2.5
MVP,3.0,2.5,2.0,2.5,90.0
