epoca,loss_train,loss_val
1,1.6233173263700384,1.5342179536819458
2,1.2408847055937116,0.7151638269424438
3,0.7534270733594894,0.4688912630081177
4,0.5120151666434187,0.33651939034461975
5,0.378628016498528,0.35967132449150085
6,0.3005850593510427,0.20196950435638428
7,0.234166231675772,0.22532247006893158
8,0.1918337432863681,0.2210037112236023
9,0.18187358024481096,0.2435884326696396
10,0.1410013523663541,0.28214186429977417
11,0.11870050459708038,0.20627030730247498
12,0.08691000916357887,0.2124096304178238
13,0.06694353602238391,0.24205447733402252
14,0.07516602220896043,0.2332628071308136
15,0.05071887476170607,0.2182718813419342
16,0.039596029976995566,0.2209382802248001
