,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,35,1,0,0,4
real_AS,1,26,0,9,4
real_MR,1,6,30,3,0
real_MS,9,12,2,17,0
real_MVP,9,3,2,2,24
