,N,AS,MR,MS,MVP
N,91.0,1.5,1.0,1.5,5.0
AS,0.0,90.5,4.0,4.5,1.0
MR,0.0,6.0,81.5,11.0,1.5
MS,4.5,5.5,1.5,85.0,3.5000000000000004
MVP,6.0,10.0,5.0,5.5,73.5
