,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,40,0,0,0,0
real_AS,0,40,0,0,0
real_MR,1,9,27,3,0
real_MS,0,0,1,36,3
real_MVP,2,3,1,1,33
