indice_interno,clase,archivo,error_final,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,N,New_N_001.wav,0.18115920388450527,9,0.06845927942322103,0.24615566166612363,0.025882499990984797,8,0.08733851598279085,0.1453674558810789,0.014443999854847789,7,0.13128408801755082,0.1288000280442984,0.01882690005004406
1,N,New_N_002.wav,0.22313236939354508,9,0.0735609453776071,0.23740661714708336,0.022160900058224797,8,0.1001343003659999,0.08245237144784918,0.008580700028687716,7,0.20415049652765888,0.044558395826625026,0.009773399913683534
2,N,New_N_003.wav,0.2502580188112131,9,0.07485991790334673,0.22974107455666695,0.022874000016599894,8,0.11230533214062394,0.1360203268928151,0.008202999830245972,7,0.2622398170150983,0.0883944580320188,0.009300499921664596
3,N,New_N_004.wav,0.32184784081561263,9,0.06940544376865578,0.27657886930424186,0.021371399983763695,8,0.14580688158818603,0.12497174980938477,0.00960649992339313,7,0.3429648374855084,0.07958257599711657,0.008571899961680174
4,N,New_N_005.wav,0.2395591167831341,9,0.0664043134074293,0.1711413323296925,0.021196800051257014,8,0.21856490709686036,0.09010249373579496,0.008546600118279457,7,0.1894436821303481,0.07311431613771537,0.009176700143143535
5,N,New_N_006.wav,0.23334047972404467,9,0.06732781969717463,0.2390927075391042,0.02153599984012544,8,0.11344588341070867,0.09497342264175732,0.010098299942910671,7,0.2193931776671921,0.06045546143596797,0.009361200034618378
6,N,New_N_007.wav,0.2527542655138969,9,0.08238044686858555,0.2920949301182576,0.021210799925029278,8,0.17493586770090572,0.12241487669481067,0.009503599954769015,7,0.25041228877302696,0.058110941882415355,0.009759100154042244
7,N,New_N_008.wav,0.25436300912330606,9,0.06266643579701638,0.18920240517618106,0.021257499931380153,8,0.1789462343722682,0.11866195002724755,0.008662199834361672,7,0.19956347707437927,0.13377334916784245,0.01251809997484088
8,N,New_N_009.wav,0.21295650246172235,9,0.06120784986242325,0.24271589781575806,0.021484699798747897,8,0.15755126571755204,0.09888725153237285,0.00810999982059002,7,0.2042812435620813,0.08088597860797234,0.009590200148522854
9,N,New_N_010.wav,0.21935444573011345,9,0.06548911167844972,0.1896705948478498,0.021249799989163876,8,0.1427579163919497,0.09190454754910252,0.008949500042945147,7,0.1178897426458387,0.06827707417058176,0.008761300006881356
10,N,New_N_011.wav,0.22305881524837737,9,0.0740715933015735,0.1967777265601197,0.020749500021338463,8,0.1566586382108294,0.08967601704613222,0.008875299943611026,7,0.15373786503041326,0.06809107117359806,0.013478799955919385
11,N,New_N_012.wav,0.2536040542749945,9,0.07706460199919332,0.17418362765240883,0.021444400073960423,8,0.11390488746508118,0.12102307129359076,0.009159499779343605,7,0.23997754496551954,0.07742055300718793,0.009093099972233176
12,N,New_N_013.wav,0.2598241313181653,9,0.06974516544523587,0.16338908848001793,0.02045830013230443,8,0.21707736625331361,0.0907020819621891,0.008944999892264605,7,0.27461423842912375,0.05587848505830656,0.009924700018018484
13,N,New_N_014.wav,0.23290527653174645,9,0.07669917084454224,0.17800241021014387,0.021403799997642636,8,0.19088884201501438,0.08828800860394158,0.00947749987244606,7,0.19366962643144933,0.08047155680226108,0.00853229989297688
14,N,New_N_015.wav,0.2097738779127965,9,0.06543899721365756,0.25678760462056455,0.021659099962562323,8,0.14590365547057585,0.14460873047786768,0.008111600065603852,7,0.2056563687291615,0.1339206014759008,0.00983190000988543
15,N,New_N_016.wav,0.19660769386506724,9,0.06773369326556802,0.20197373266975363,0.021353499963879585,8,0.12136599696362614,0.1291019612546747,0.009703400079160929,7,0.11393087345138808,0.09128499917545828,0.008737900061532855
16,N,New_N_017.wav,0.19062222267822637,9,0.06589832989495162,0.235023731521301,0.02938289986923337,8,0.09718640598861258,0.1367872964887683,0.009114099899306893,7,0.0904145478653649,0.09573657269093504,0.010489300126209855
17,N,New_N_018.wav,0.23283515962547932,9,0.060229484169444014,0.2533117072288552,0.021753399865701795,8,0.18346334907248088,0.10052147775148897,0.01700600003823638,7,0.2091704943365357,0.0854293196282609,0.009546499932184815
18,N,New_N_019.wav,0.2543887844232111,9,0.0659129100192845,0.237769437337205,0.02103310008533299,8,0.11868124767835084,0.11264499390056655,0.009354399982839823,7,0.2050587740142321,0.1060852907556499,0.00851770001463592
19,N,New_N_020.wav,0.2041517798156883,9,0.06812724699302576,0.21101217911186776,0.0220058998093009,8,0.0830775080057631,0.15838892720673226,0.008207500213757157,7,0.15759567843478633,0.1167637433473608,0.009555299999192357
20,N,New_N_021.wav,0.28685001337608235,9,0.08660273709359205,0.1480479760662933,0.021013899939134717,8,0.15204428675581436,0.11020099619151269,0.008136099902912974,7,0.32343148099111607,0.090000219409854,0.009772100020200014
21,N,New_N_022.wav,0.24122572313338875,9,0.07021097199824511,0.2696828143866901,0.02066099992953241,8,0.11175722467640765,0.13312085070356258,0.009228599956259131,7,0.23605363982071714,0.10913311338313962,0.008532899897545576
22,N,New_N_023.wav,0.2218165487491448,9,0.06922454827136887,0.16898296597185541,0.023674699943512678,8,0.19388459258057414,0.04265878311367174,0.008534299908205867,7,0.20478115023433663,0.03864869026782261,0.009735299972817302
23,N,New_N_024.wav,0.2115424907926947,9,0.0673965484152572,0.25764362394679446,0.020877799950540066,8,0.11466364521775453,0.16780470523236848,0.009189700009301305,7,0.18538233138753948,0.16784677885098012,0.008443399798125029
24,N,New_N_025.wav,0.22894243698865294,9,0.07125570620296463,0.21204015520653618,0.020514900097623467,8,0.1894461369066353,0.13113495869842717,0.0081279999576509,7,0.23802922537336044,0.12974331416169657,0.009407499805092812
25,N,New_N_026.wav,0.2326762777945037,9,0.07390839699818319,0.18970536661638787,0.021281399996951222,8,0.15039451070092172,0.07388616149147369,0.008533000014722347,7,0.21233011714513356,0.06996344371643719,0.0099458999466151
26,N,New_N_027.wav,0.2365413645634078,9,0.08118581851133853,0.18539901797265287,0.02106320019811392,8,0.12422442563368112,0.07497858392889577,0.009196999948471785,7,0.16087403365215452,0.06373494714494742,0.00904390006326139
27,N,New_N_028.wav,0.23159588086467184,9,0.07234351127552438,0.22296267940713477,0.02177840005606413,8,0.15693906885382108,0.13692735042434892,0.00862470013089478,7,0.19083868759993836,0.07979129563753219,0.009974000044167042
