distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
13-5-4,3,KNN,DeepONMF_H3,1,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
13-5-4,3,KNN,DeepONMF_H3,2,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
13-5-4,3,KNN,DeepONMF_H3,3,155,33,7,5,0.94,0.96875,0.825,0.9567901234567902,0.896875
13-5-4,3,KNN,DeepONMF_H3,4,156,34,6,4,0.95,0.975,0.85,0.9629629629629629,0.9125
13-5-4,3,KNN,DeepONMF_H3,5,159,36,4,1,0.975,0.99375,0.9,0.9754601226993865,0.946875
13-5-4,3,KNN,DeepONMF_W,1,148,35,5,12,0.915,0.925,0.875,0.9673202614379085,0.9
13-5-4,3,KNN,DeepONMF_W,2,151,31,9,9,0.91,0.94375,0.775,0.94375,0.859375
13-5-4,3,KNN,DeepONMF_W,3,144,32,8,16,0.88,0.9,0.8,0.9473684210526315,0.8500000000000001
13-5-4,3,KNN,DeepONMF_W,4,149,31,9,11,0.9,0.93125,0.775,0.9430379746835443,0.853125
13-5-4,3,KNN,DeepONMF_W,5,150,33,7,10,0.915,0.9375,0.825,0.9554140127388535,0.88125
13-5-4,3,SVM,DeepONMF_H3,1,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
13-5-4,3,SVM,DeepONMF_H3,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
13-5-4,3,SVM,DeepONMF_H3,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
13-5-4,3,SVM,DeepONMF_H3,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
13-5-4,3,SVM,DeepONMF_H3,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
13-5-4,3,SVM,DeepONMF_W,1,146,39,1,14,0.925,0.9125,0.975,0.9931972789115646,0.94375
13-5-4,3,SVM,DeepONMF_W,2,147,36,4,13,0.915,0.91875,0.9,0.9735099337748344,0.909375
13-5-4,3,SVM,DeepONMF_W,3,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
13-5-4,3,SVM,DeepONMF_W,4,146,38,2,14,0.92,0.9125,0.95,0.9864864864864865,0.9312499999999999
13-5-4,3,SVM,DeepONMF_W,5,146,36,4,14,0.91,0.9125,0.9,0.9733333333333334,0.90625
13-5-4,3,UjaNet,DeepONMF_H3,1,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
13-5-4,3,UjaNet,DeepONMF_H3,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
13-5-4,3,UjaNet,DeepONMF_H3,3,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
13-5-4,3,UjaNet,DeepONMF_H3,4,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
13-5-4,3,UjaNet,DeepONMF_H3,5,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
13-5-4,3,UjaNet,DeepONMF_W,1,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
13-5-4,3,UjaNet,DeepONMF_W,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
13-5-4,3,UjaNet,DeepONMF_W,3,154,34,6,6,0.94,0.9625,0.85,0.9625,0.90625
13-5-4,3,UjaNet,DeepONMF_W,4,153,34,6,7,0.935,0.95625,0.85,0.9622641509433962,0.903125
13-5-4,3,UjaNet,DeepONMF_W,5,159,35,5,1,0.97,0.99375,0.875,0.9695121951219512,0.934375
