,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,30,2,0,0,8
real_AS,0,29,3,6,2
real_MR,0,11,24,4,1
real_MS,6,12,0,17,5
real_MVP,10,9,2,3,16
