,N,AS,MR,MS,MVP
N,98.0,0.0,0.5,0.5,1.0
AS,0.5,96.0,2.0,1.0,0.5
MR,1.5,1.0,93.5,2.0,2.0
MS,0.5,1.5,0.0,93.0,5.0
MVP,3.0,1.5,1.5,2.0,92.0
