Número de característica,N,AS,MR,MS,MVP,p-valor
SBV 1,0.019622 ± 0.087246,0.019394 ± 0.087298,0.025104 ± 0.085818,0.019863 ± 0.087191,0.020763 ± 0.086980,1.896762866169533e-06
SBV 2,0.020017 ± 0.087156,0.029272 ± 0.084477,0.020638 ± 0.087010,0.019522 ± 0.087269,0.018506 ± 0.087492,1.5339164646450188e-18
SBV 3,0.021076 ± 0.086904,0.028976 ± 0.084579,0.028618 ± 0.084702,0.022501 ± 0.086543,0.018719 ± 0.087446,3.286004320629029e-08
SBV 4,0.022036 ± 0.086663,0.020751 ± 0.086983,0.021710 ± 0.086746,0.018768 ± 0.087435,0.031983 ± 0.083480,3.1863993218486535e-11
SBV 5,0.019141 ± 0.087354,0.023295 ± 0.086331,0.027914 ± 0.084939,0.021242 ± 0.086863,0.020159 ± 0.087123,2.416296870619363e-07
SBV 6,0.019176 ± 0.087346,0.028699 ± 0.084674,0.020515 ± 0.087039,0.019598 ± 0.087252,0.021150 ± 0.086886,5.89867203645023e-20
SBV 7,0.019979 ± 0.087164,0.022211 ± 0.086618,0.021475 ± 0.086805,0.023378 ± 0.086308,0.021099 ± 0.086898,1.2748277037645791e-09
