indice_interno,distribucion,numero_capas,error_final,forma_h_final,segundos_extraccion,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h
0,12-5-2,3,0.33431261444495675,2x212,0.025238500005798414,12,0.06259916383344948,0.3177074276063097,5,0.34782513012130123,0.18854730582056717,2,0.57550212583554,0.17213182758424062
1,12-5-2,3,0.4064708581366252,2x212,0.022169999981997535,12,0.05539375475937081,0.3192734635674673,5,0.3636848624858728,0.20739303875517118,2,0.5535886316258773,0.15710311201473728
2,12-5-2,3,0.26003599339929545,2x212,0.031797399977222085,12,0.05878223415902781,0.35578011133664805,5,0.3982496607070227,0.2523519001300968,2,0.591888797351854,0.26116835238298547
3,12-5-2,3,0.3411691854323559,2x212,0.025844499992672354,12,0.057825041492101104,0.35142050035520184,5,0.3061895618743256,0.18243808605716666,2,0.6243987806084619,0.16195007261705008
4,12-5-2,3,0.38198822760457835,2x212,0.024576499999966472,12,0.0541578411452183,0.34425334634147864,5,0.375212950207169,0.21938602403632795,2,0.5813420305039504,0.2196824423393833
5,12-5-2,3,0.39947539649265884,2x212,0.04011430000537075,12,0.05872360195327571,0.36569156150054166,5,0.326784662394563,0.1607992163260395,2,0.6444669244716795,0.10943392006926586
6,12-5-2,3,0.3910125866670815,2x212,0.023014299978967756,12,0.06414383074067403,0.3500357898960901,5,0.31160497173326573,0.18650244648150802,2,0.6015539007924553,0.2869161994353813
7,12-5-2,3,0.3514120545686884,2x212,0.02858620000188239,12,0.0610155851191569,0.3932933891204258,5,0.33278373078850093,0.29521792803002556,2,0.5781530320740514,0.29287199562743726
8,12-5-2,3,0.4151120765180505,2x212,0.023877799976617098,12,0.05946553750299899,0.3990806066874275,5,0.4552595003122102,0.23090199265147296,2,0.6378435963576307,0.34547522936080355
9,12-5-2,3,0.32026505686339407,2x212,0.028681700001470745,12,0.05475558153080295,0.3142878951083804,5,0.36959829475364286,0.23018605603561296,2,0.6129196784905733,0.25905496396231675
10,12-5-2,3,0.2601592207947519,2x212,0.020262900012312457,12,0.06318985385778189,0.37260995132938607,5,0.41391660667536406,0.2786738346100528,2,0.6425863731027799,0.3696989985834078
11,12-5-2,3,0.3145181903515785,2x212,0.024059200019109994,12,0.06190624377588733,0.34735791518820364,5,0.36272010665448,0.2028687272318907,2,0.6314028164739398,0.23265770809022923
12,12-5-2,3,0.413798842219838,2x212,0.019522499991580844,12,0.057073809604880274,0.3745345083417984,5,0.3252556061109534,0.21142891905866726,2,0.6067315397219537,0.23533668262290414
13,12-5-2,3,0.36130202774894044,2x212,0.020951900020008907,12,0.06537367846681097,0.325512949649176,5,0.37187225501697396,0.2944835485708075,2,0.5415830768855425,0.3270906005798894
14,12-5-2,3,0.2668522362665971,2x212,0.024040999996941537,12,0.06453526616446255,0.3895650540808353,5,0.3707474919833208,0.25936063782366625,2,0.6071490029461434,0.2531392903676596
15,12-5-2,3,0.29637894123211167,2x212,0.02011290000518784,12,0.058112264233973476,0.33817444560032545,5,0.34935224633009965,0.25274099316833826,2,0.6058090804740021,0.2315590460052217
16,12-5-2,3,0.435015087432974,2x212,0.021356799989007413,12,0.06656244285337451,0.38834188145033477,5,0.320863803937352,0.22498893442346163,2,0.4645836600230046,0.18317994554095726
17,12-5-2,3,0.3995740690798862,2x212,0.021798199974000454,12,0.0563047179006002,0.34575091793900103,5,0.3582702253558832,0.2077227071625912,2,0.5625298630190858,0.15783443705921957
