indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
948,SNR_0db,MVP,New_MVP_149.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.42837775418207,2x212,0.02852240006905049,20,0.26217502254837116,0.32484234271854806,0.021956400014460087,6,0.25456849250817487,0.3377332655539814,0.003473400021903217,2,0.23844886802492538,0.2326572373770916,0.002182499971240759
949,SNR_0db,MVP,New_MVP_150.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4263014101888028,2x212,0.027989299967885017,20,0.26362318133357643,0.31889003002363314,0.021639900049194694,6,0.2566489789079999,0.3768947379397773,0.0032848999835550785,2,0.241475311883311,0.2509355331011811,0.0020852999296039343
950,SNR_0db,MVP,New_MVP_151.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.42841843264584945,2x212,0.027687399997375906,20,0.2637555115548799,0.30830620367651684,0.020666700089350343,6,0.25703626768709403,0.3211493933817647,0.00364459992852062,2,0.24802772662954403,0.2176703906087118,0.0023949999595060945
951,SNR_0db,MVP,New_MVP_152.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.43354648535518414,2x212,0.028284500003792346,20,0.26404325481177293,0.32568041097120104,0.021897100028581917,6,0.25710916013600343,0.3333672156670995,0.0033666000235825777,2,0.24588648977516794,0.21354445006042383,0.002177800051867962
952,SNR_0db,MVP,New_MVP_153.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.42134110649578166,2x212,0.028859699959866703,20,0.25780868802276524,0.3179855249497046,0.02252629993017763,6,0.24797533565090427,0.35996839027373756,0.0032677999697625637,2,0.23385520514943933,0.23232507958882959,0.0021059000864624977
953,SNR_0db,MVP,New_MVP_154.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4320785340476819,2x212,0.028336199931800365,20,0.2646149089750029,0.3245917933541747,0.02123589999973774,6,0.2516921039948852,0.3314361186841654,0.0037179000210016966,2,0.23967911200800024,0.22470265241811513,0.0024553999537602067
954,SNR_0db,MVP,New_MVP_155.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4338077741148955,2x212,0.03117009997367859,20,0.2616786505285275,0.3155958096795927,0.02319169999100268,6,0.2606031509567242,0.3317532858916849,0.004378899931907654,2,0.24460440429831035,0.23711546736741912,0.002713899943046272
955,SNR_0db,MVP,New_MVP_156.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.43250458859731117,2x212,0.030050500063225627,20,0.2645336214440518,0.32238060662781637,0.023551400052383542,6,0.25508677379468314,0.3397578557744415,0.0034670999739319086,2,0.23576596885708898,0.21280962236969442,0.002191100036725402
956,SNR_0db,MVP,New_MVP_157.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4250471950948738,2x212,0.02837880002334714,20,0.2591933496038644,0.3217931241916506,0.021904299966990948,6,0.2550644505859606,0.3509232410883483,0.0032327999360859394,2,0.24600247492433489,0.23045498484477162,0.002080500009469688
957,SNR_0db,MVP,New_MVP_158.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4228325307137469,2x212,0.027771799941547215,20,0.2622499405091852,0.3204295275109731,0.020999099942855537,6,0.25091341394249206,0.3707292234784873,0.0036235000006854534,2,0.2549388465905842,0.27195481025820295,0.0021607999224215746
958,SNR_0db,MVP,New_MVP_159.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.426463900767751,2x212,0.02633989998139441,20,0.2628217356920124,0.3171139214128317,0.020175899961031973,6,0.2507974362668586,0.33799110417072903,0.003279200056567788,2,0.2525418959307572,0.21672647970061773,0.002059499965980649
959,SNR_0db,MVP,New_MVP_160.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4316207207027639,2x212,0.02764970005955547,20,0.26214997905511633,0.3153992105656268,0.02142829995136708,6,0.25878933500828516,0.34134323436340175,0.003252799971960485,2,0.2409576458813071,0.21837000762503025,0.0020559000549837947
960,SNR_0db,MVP,New_MVP_161.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4240870961118702,2x212,0.02808389998972416,20,0.2581086498405725,0.3123669052918119,0.021415299968793988,6,0.2536013939947776,0.3229182080256525,0.0037611000007018447,2,0.2299463966779745,0.2282411410789728,0.0021479000570252538
961,SNR_0db,MVP,New_MVP_162.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.42419818742240273,2x212,0.027626600000075996,20,0.2608645122313027,0.3118158432860524,0.021107500069774687,6,0.2501876852064417,0.33117783772472537,0.0033953000092878938,2,0.24654424186364193,0.21895177658623632,0.002399599994532764
962,SNR_0db,MVP,New_MVP_163.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.42722889746267795,2x212,0.029699699953198433,20,0.2633907300503941,0.3215888662554615,0.023564300034195185,6,0.2504592988310706,0.33216921728140064,0.0032302000327035785,2,0.2360290126233408,0.22734363850529976,0.0020533999195322394
963,SNR_0db,MVP,New_MVP_164.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.42386702868230336,2x212,0.027460700017400086,20,0.26293064268856403,0.3085823478117301,0.020513300085440278,6,0.2513989868972088,0.31947265037792066,0.0040065000066533685,2,0.23038609139921132,0.2059987243750693,0.0021548999939113855
964,SNR_0db,MVP,New_MVP_165.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4212061894780544,2x212,0.027354299905709922,20,0.2586217180136606,0.32651340821056896,0.021101800026372075,6,0.2525198154866439,0.36014593689460134,0.003281199955381453,2,0.23289857137368664,0.2641291711551919,0.002120699966326356
965,SNR_0db,MVP,New_MVP_166.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.42833833992550735,2x212,0.029496199917048216,20,0.2635280150055442,0.3259443362778096,0.022936899913474917,6,0.25160552951219595,0.3523768809735539,0.003494800068438053,2,0.24826836545943737,0.22963953698713147,0.0023155000526458025
966,SNR_0db,MVP,New_MVP_167.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.42520967130254944,2x212,0.026163099915720522,20,0.26162664313311257,0.3113900806665997,0.019511800026521087,6,0.2569115702569791,0.3303536005561923,0.00363279995508492,2,0.24781516484811927,0.2186306254381255,0.0021739999065175653
967,SNR_0db,MVP,New_MVP_168.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4312055686664262,2x212,0.027104899985715747,20,0.2616038569455898,0.3122514742484709,0.020695799961686134,6,0.24855515741185163,0.33163150681691966,0.0034157000482082367,2,0.2320019789291175,0.21637559234937803,0.0020928001031279564
968,SNR_0db,MVP,New_MVP_169.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.4281274284829878,2x212,0.02649399999063462,20,0.2644104217367552,0.31256994311189545,0.020141600049100816,6,0.25275344421319035,0.3350516315830916,0.0033307999838143587,2,0.23792517569209026,0.2282627672595957,0.002140199998393655
969,SNR_0db,MVP,New_MVP_170.wav,20-6-2,DeepONMF_H3,3,nndsvd,0.42627531192723855,2x212,0.027679699938744307,20,0.26390280571719515,0.3171898601682226,0.020482799969613552,6,0.2545721378059078,0.3310922745677034,0.00317949999589473,2,0.24030552870059313,0.22684371855993712,0.0030809000600129366
