distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
17-10-3,3,KNN,DeepONMF_H3,1,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
17-10-3,3,KNN,DeepONMF_H3,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
17-10-3,3,KNN,DeepONMF_H3,3,155,33,7,5,0.94,0.96875,0.825,0.9567901234567902,0.896875
17-10-3,3,KNN,DeepONMF_H3,4,155,35,5,5,0.95,0.96875,0.875,0.96875,0.921875
17-10-3,3,KNN,DeepONMF_H3,5,159,33,7,1,0.96,0.99375,0.825,0.9578313253012049,0.909375
17-10-3,3,KNN,DeepONMF_W,1,148,32,8,12,0.9,0.925,0.8,0.9487179487179487,0.8625
17-10-3,3,KNN,DeepONMF_W,2,146,33,7,14,0.895,0.9125,0.825,0.954248366013072,0.8687499999999999
17-10-3,3,KNN,DeepONMF_W,3,150,33,7,10,0.915,0.9375,0.825,0.9554140127388535,0.88125
17-10-3,3,KNN,DeepONMF_W,4,146,33,7,14,0.895,0.9125,0.825,0.954248366013072,0.8687499999999999
17-10-3,3,KNN,DeepONMF_W,5,150,35,5,10,0.925,0.9375,0.875,0.967741935483871,0.90625
17-10-3,3,SVM,DeepONMF_H3,1,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
17-10-3,3,SVM,DeepONMF_H3,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
17-10-3,3,SVM,DeepONMF_H3,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
17-10-3,3,SVM,DeepONMF_H3,4,155,35,5,5,0.95,0.96875,0.875,0.96875,0.921875
17-10-3,3,SVM,DeepONMF_H3,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
17-10-3,3,SVM,DeepONMF_W,1,147,39,1,13,0.93,0.91875,0.975,0.9932432432432432,0.9468749999999999
17-10-3,3,SVM,DeepONMF_W,2,147,38,2,13,0.925,0.91875,0.95,0.9865771812080537,0.934375
17-10-3,3,SVM,DeepONMF_W,3,150,37,3,10,0.935,0.9375,0.925,0.9803921568627451,0.93125
17-10-3,3,SVM,DeepONMF_W,4,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
17-10-3,3,SVM,DeepONMF_W,5,148,37,3,12,0.925,0.925,0.925,0.9801324503311258,0.925
17-10-3,3,UjaNet,DeepONMF_H3,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
17-10-3,3,UjaNet,DeepONMF_H3,2,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
17-10-3,3,UjaNet,DeepONMF_H3,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
17-10-3,3,UjaNet,DeepONMF_H3,4,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
17-10-3,3,UjaNet,DeepONMF_H3,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
17-10-3,3,UjaNet,DeepONMF_W,1,154,38,2,6,0.96,0.9625,0.95,0.9871794871794872,0.95625
17-10-3,3,UjaNet,DeepONMF_W,2,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
17-10-3,3,UjaNet,DeepONMF_W,3,151,37,3,9,0.94,0.94375,0.925,0.9805194805194806,0.934375
17-10-3,3,UjaNet,DeepONMF_W,4,157,35,5,3,0.96,0.98125,0.875,0.9691358024691358,0.928125
17-10-3,3,UjaNet,DeepONMF_W,5,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
