,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,0,0,3,0
real_AS,0,35,5,0,0
real_MR,0,4,30,6,0
real_MS,0,4,1,32,3
real_MVP,3,18,1,15,3
