indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
33,original,N,New_N_034.wav,32-2,DeepONMF_H2,2,nndsvd,0.16343665967678014,2x212,0.0637109000235796,32,0.07444585251482601,0.15862582406845419,0.05230330000631511,2,0.11995414547307302,0.36630304671632963,0.0101284000556916
34,original,N,New_N_035.wav,32-2,DeepONMF_H2,2,nndsvd,0.16248476514888494,2x212,0.0646398999961093,32,0.07458857929698097,0.16348042384196285,0.05489959998521954,2,0.11213782946645173,0.37692880412800156,0.007925000041723251
35,original,N,New_N_036.wav,32-2,DeepONMF_H2,2,nndsvd,0.15476234157066912,2x212,0.062026700004935265,32,0.07399448938607395,0.15435830485838,0.05240480008069426,2,0.10570456598619318,0.4993559020290159,0.008244000026024878
36,original,N,New_N_037.wav,32-2,DeepONMF_H2,2,nndsvd,0.13787606268641467,2x212,0.06168399995658547,32,0.06741653524848953,0.14145426612408457,0.051972399931401014,2,0.08807859086638474,0.3445612867967932,0.008457900024950504
37,original,N,New_N_038.wav,32-2,DeepONMF_H2,2,nndsvd,0.13752757162382442,2x212,0.06219019996933639,32,0.06815547626210194,0.14079424462784934,0.05292909999843687,2,0.08936666023608911,0.36734451144675523,0.007776399957947433
38,original,N,New_N_039.wav,32-2,DeepONMF_H2,2,nndsvd,0.13332933136969802,2x212,0.06716560001950711,32,0.0673776969333714,0.1353719476811116,0.05710860004182905,2,0.0835104838276639,0.35137593874605266,0.008779099909588695
39,original,N,New_N_040.wav,32-2,DeepONMF_H2,2,nndsvd,0.13811744605001877,2x212,0.058581999968737364,32,0.066969897787309,0.1431589211235561,0.04850509995594621,2,0.09091258556248472,0.3594668222218098,0.008456400013528764
40,original,N,New_N_041.wav,32-2,DeepONMF_H2,2,nndsvd,0.1447922852932281,2x212,0.05994100007228553,32,0.06439401768272764,0.15680142856956497,0.050382700050249696,2,0.09622237066298489,0.5988944075631325,0.00839490001089871
41,original,N,New_N_042.wav,32-2,DeepONMF_H2,2,nndsvd,0.1457553755174257,2x212,0.05991730000823736,32,0.06465823125315501,0.17227473517930855,0.053713200031779706,2,0.1026119681695528,0.6807491289172238,0.004527100012637675
42,original,N,New_N_043.wav,32-2,DeepONMF_H2,2,nndsvd,0.14107912730372638,2x212,0.058128400007262826,32,0.06477887834997419,0.16845105225566845,0.051874900003895164,2,0.08921643635842962,0.5375607611932065,0.00473819999024272
