comparación,distancia
N-AS,0.07288433868923816
N-MR,0.32108368145605803
N-MS,0.5805086426382032
N-MVP,0.45059581113530167
AS-MR,0.3939680201452962
AS-MS,0.6533929813274414
AS-MVP,0.5234801498245398
MR-MS,0.2594249611821452
MR-MVP,0.12951212967924364
MS-MVP,0.12991283150290156
