,N,AS,MR,MS,MVP
N,98.5,0.0,0.5,0.0,1.0
AS,0.0,97.0,3.0,0.0,0.0
MR,0.0,3.0,93.0,2.5,1.5
MS,0.0,2.5,1.5,93.5,2.5
MVP,4.0,2.5,0.5,2.0,91.0
