,N,AS,MR,MS,MVP
N,93.0,0.5,0.5,3.5000000000000004,2.5
AS,0.5,84.5,4.5,8.0,2.5
MR,0.0,4.0,82.0,10.5,3.5000000000000004
MS,2.5,1.0,4.0,90.5,2.0
MVP,2.5,6.0,5.5,3.0,83.0
