Número de característica,N,AS,MR,MS,MVP,p-valor
SBV 1,0.019438 ± 0.087288,0.032226 ± 0.083386,0.019753 ± 0.087216,0.020002 ± 0.087159,0.031848 ± 0.083532,1.0410499686602063e-21
SBV 2,0.020151 ± 0.087125,0.024713 ± 0.085932,0.028837 ± 0.084627,0.024056 ± 0.086120,0.021934 ± 0.086689,0.055706362998272425
SBV 3,0.019236 ± 0.087333,0.030734 ± 0.083952,0.021401 ± 0.086823,0.018187 ± 0.087559,0.020394 ± 0.087067,1.8282075131615443e-25
SBV 4,0.020183 ± 0.087117,0.019850 ± 0.087194,0.021427 ± 0.086817,0.021592 ± 0.086776,0.022027 ± 0.086666,1.9967666674169496e-09
SBV 5,0.019183 ± 0.087345,0.020020 ± 0.087155,0.020349 ± 0.087078,0.020517 ± 0.087038,0.018353 ± 0.087524,0.004124204726486706
SBV 6,0.019030 ± 0.087378,0.019459 ± 0.087283,0.026958 ± 0.085249,0.020578 ± 0.087024,0.018564 ± 0.087479,4.4478282144269614e-05
SBV 7,0.023470 ± 0.086283,0.022346 ± 0.086583,0.024822 ± 0.085901,0.018565 ± 0.087479,0.017922 ± 0.087614,1.0573081913851483e-08
