,N,AS,MR,MS,MVP
N,98.0,0.0,1.0,0.0,1.0
AS,0.0,97.0,2.0,0.5,0.5
MR,0.0,2.0,95.0,2.0,1.0
MS,0.0,1.5,0.5,93.0,5.0
MVP,2.5,1.5,1.0,1.5,93.5
