distribucion,representacion,padding_aplicado,forma_original,forma_ujanet,filas_cero_anadidas,columnas_cero_anadidas
13-12-6,DeepONMF_W,False,126x6,126x6,0,0
13-12-6,DeepONMF_H3,False,6x212,6x212,0,0
