,N,AS,MR,MS,MVP
N,98.5,0.0,0.5,0.5,0.5
AS,0.0,96.5,2.5,0.0,1.0
MR,0.5,2.0,95.0,2.0,0.5
MS,0.5,0.5,1.0,94.5,3.5000000000000004
MVP,3.5000000000000004,2.5,2.0,1.5,90.5
