distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
15-12-9-6-3,5,KNN,DeepONMF_H5,1,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
15-12-9-6-3,5,KNN,DeepONMF_H5,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
15-12-9-6-3,5,KNN,DeepONMF_H5,3,157,33,7,3,0.95,0.98125,0.825,0.9573170731707317,0.903125
15-12-9-6-3,5,KNN,DeepONMF_H5,4,156,34,6,4,0.95,0.975,0.85,0.9629629629629629,0.9125
15-12-9-6-3,5,KNN,DeepONMF_H5,5,159,33,7,1,0.96,0.99375,0.825,0.9578313253012049,0.909375
15-12-9-6-3,5,KNN,DeepONMF_W,1,147,34,6,13,0.905,0.91875,0.85,0.9607843137254902,0.8843749999999999
15-12-9-6-3,5,KNN,DeepONMF_W,2,145,35,5,15,0.9,0.90625,0.875,0.9666666666666667,0.890625
15-12-9-6-3,5,KNN,DeepONMF_W,3,152,31,9,8,0.915,0.95,0.775,0.9440993788819876,0.8625
15-12-9-6-3,5,KNN,DeepONMF_W,4,139,35,5,21,0.87,0.86875,0.875,0.9652777777777778,0.871875
15-12-9-6-3,5,KNN,DeepONMF_W,5,150,33,7,10,0.915,0.9375,0.825,0.9554140127388535,0.88125
15-12-9-6-3,5,SVM,DeepONMF_H5,1,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
15-12-9-6-3,5,SVM,DeepONMF_H5,2,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
15-12-9-6-3,5,SVM,DeepONMF_H5,3,155,37,3,5,0.96,0.96875,0.925,0.9810126582278481,0.946875
15-12-9-6-3,5,SVM,DeepONMF_H5,4,155,35,5,5,0.95,0.96875,0.875,0.96875,0.921875
15-12-9-6-3,5,SVM,DeepONMF_H5,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
15-12-9-6-3,5,SVM,DeepONMF_W,1,145,39,1,15,0.92,0.90625,0.975,0.9931506849315068,0.940625
15-12-9-6-3,5,SVM,DeepONMF_W,2,144,39,1,16,0.915,0.9,0.975,0.993103448275862,0.9375
15-12-9-6-3,5,SVM,DeepONMF_W,3,148,37,3,12,0.925,0.925,0.925,0.9801324503311258,0.925
15-12-9-6-3,5,SVM,DeepONMF_W,4,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
15-12-9-6-3,5,SVM,DeepONMF_W,5,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
15-12-9-6-3,5,UjaNet,DeepONMF_H5,1,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
15-12-9-6-3,5,UjaNet,DeepONMF_H5,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
15-12-9-6-3,5,UjaNet,DeepONMF_H5,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
15-12-9-6-3,5,UjaNet,DeepONMF_H5,4,160,37,3,0,0.985,1.0,0.925,0.9815950920245399,0.9625
15-12-9-6-3,5,UjaNet,DeepONMF_H5,5,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
15-12-9-6-3,5,UjaNet,DeepONMF_W,1,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
15-12-9-6-3,5,UjaNet,DeepONMF_W,2,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
15-12-9-6-3,5,UjaNet,DeepONMF_W,3,152,35,5,8,0.935,0.95,0.875,0.9681528662420382,0.9125
15-12-9-6-3,5,UjaNet,DeepONMF_W,4,157,35,5,3,0.96,0.98125,0.875,0.9691358024691358,0.928125
15-12-9-6-3,5,UjaNet,DeepONMF_W,5,160,34,6,0,0.97,1.0,0.85,0.963855421686747,0.925
