,N,AS,MR,MS,MVP
N,99.0,0.0,0.5,0.0,0.5
AS,0.0,97.0,1.5,1.0,0.5
MR,1.0,0.5,96.0,0.5,2.0
MS,0.0,2.5,0.0,97.0,0.5
MVP,0.0,0.5,0.5,1.0,98.0
