Número de característica,N,AS,MR,MS,MVP,p-valor
SBV 1,0.019253 ± 0.087329,0.019288 ± 0.087321,0.021537 ± 0.086790,0.019147 ± 0.087352,0.018718 ± 0.087446,0.0027281455361783478
SBV 2,0.020482 ± 0.087047,0.031933 ± 0.083499,0.020669 ± 0.087002,0.018397 ± 0.087515,0.022666 ± 0.086499,9.925429109165242e-19
SBV 3,0.020024 ± 0.087154,0.020867 ± 0.086954,0.028524 ± 0.084734,0.020595 ± 0.087020,0.020604 ± 0.087018,4.987290694926997e-14
SBV 4,0.023888 ± 0.086167,0.019307 ± 0.087317,0.021776 ± 0.086729,0.021231 ± 0.086866,0.018625 ± 0.087466,9.733067275291652e-08
SBV 5,0.019136 ± 0.087355,0.021184 ± 0.086877,0.025438 ± 0.085719,0.018673 ± 0.087456,0.031321 ± 0.083733,2.8678545573691382e-16
SBV 6,0.020573 ± 0.087025,0.030461 ± 0.084052,0.027203 ± 0.085171,0.027363 ± 0.085119,0.018417 ± 0.087511,1.629598224573371e-22
SBV 7,0.018537 ± 0.087485,0.023458 ± 0.086286,0.019764 ± 0.087214,0.020121 ± 0.087132,0.022227 ± 0.086614,0.0030274811359672946
