distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
11-6,2,KNN,DeepONMF_H2,1,157,35,5,3,0.96,0.98125,0.875,0.9691358024691358,0.928125
11-6,2,KNN,DeepONMF_H2,2,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
11-6,2,KNN,DeepONMF_H2,3,157,31,9,3,0.94,0.98125,0.775,0.9457831325301205,0.878125
11-6,2,KNN,DeepONMF_H2,4,156,34,6,4,0.95,0.975,0.85,0.9629629629629629,0.9125
11-6,2,KNN,DeepONMF_H2,5,159,32,8,1,0.955,0.99375,0.8,0.9520958083832335,0.8968750000000001
11-6,2,KNN,DeepONMF_W,1,148,34,6,12,0.91,0.925,0.85,0.961038961038961,0.8875
11-6,2,KNN,DeepONMF_W,2,142,31,9,18,0.865,0.8875,0.775,0.9403973509933775,0.83125
11-6,2,KNN,DeepONMF_W,3,145,33,7,15,0.89,0.90625,0.825,0.9539473684210527,0.865625
11-6,2,KNN,DeepONMF_W,4,143,29,11,17,0.86,0.89375,0.725,0.9285714285714286,0.809375
11-6,2,KNN,DeepONMF_W,5,147,33,7,13,0.9,0.91875,0.825,0.9545454545454546,0.871875
11-6,2,SVM,DeepONMF_H2,1,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
11-6,2,SVM,DeepONMF_H2,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
11-6,2,SVM,DeepONMF_H2,3,155,37,3,5,0.96,0.96875,0.925,0.9810126582278481,0.946875
11-6,2,SVM,DeepONMF_H2,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
11-6,2,SVM,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
11-6,2,SVM,DeepONMF_W,1,148,39,1,12,0.935,0.925,0.975,0.9932885906040269,0.95
11-6,2,SVM,DeepONMF_W,2,144,37,3,16,0.905,0.9,0.925,0.9795918367346939,0.9125000000000001
11-6,2,SVM,DeepONMF_W,3,148,37,3,12,0.925,0.925,0.925,0.9801324503311258,0.925
11-6,2,SVM,DeepONMF_W,4,146,38,2,14,0.92,0.9125,0.95,0.9864864864864865,0.9312499999999999
11-6,2,SVM,DeepONMF_W,5,145,36,4,15,0.905,0.90625,0.9,0.9731543624161074,0.903125
11-6,2,UjaNet,DeepONMF_H2,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
11-6,2,UjaNet,DeepONMF_H2,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
11-6,2,UjaNet,DeepONMF_H2,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
11-6,2,UjaNet,DeepONMF_H2,4,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
11-6,2,UjaNet,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
11-6,2,UjaNet,DeepONMF_W,1,155,39,1,5,0.97,0.96875,0.975,0.9935897435897436,0.971875
11-6,2,UjaNet,DeepONMF_W,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
11-6,2,UjaNet,DeepONMF_W,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
11-6,2,UjaNet,DeepONMF_W,4,156,39,1,4,0.975,0.975,0.975,0.9936305732484076,0.975
11-6,2,UjaNet,DeepONMF_W,5,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
