epoca,loss_train,loss_val
1,0.5644177261151766,0.5034197568893433
2,0.5112953907565067,0.45774731040000916
3,0.3924720620638446,0.2117932140827179
4,0.18096987118846491,0.08285243064165115
5,0.06702969203654088,0.015093248337507248
6,0.04468616566277648,0.0035723657347261906
7,0.047047231432914394,0.015040116384625435
8,0.02957049835899134,0.004938316997140646
9,0.01913924787545272,0.0009011565125547349
10,0.02477709718129374,0.0016985711408779025
11,0.006679781532607433,0.0004008472023997456
12,0.02943832402525004,0.0027926352340728045
13,0.008292956827445826,0.0003186996327713132
14,0.004523415990517701,0.00018901299335993826
15,0.0010793298150357906,8.813053136691451e-05
16,0.014575243831514902,0.0013163926778361201
17,0.026773988280087667,0.012706591747701168
18,0.0181912759012868,0.0023138008546084166
19,0.002025038620283675,4.662600258598104e-05
20,0.004483458188013556,0.0001761578896548599
21,0.0018837853899400982,5.8760197134688497e-05
22,0.0014553675086433845,0.0001041833238559775
23,0.0028544644825004325,3.969432873418555e-05
24,0.0013833864145812857,1.6845615391503088e-05
25,0.0018807113509824915,4.0328824979951605e-05
26,0.0005051517175541233,2.0294444766477682e-05
27,0.000871539621460658,3.826585270871874e-06
28,0.00027636623101609965,7.735333383607212e-06
29,0.00015336936510236323,7.584777904412476e-06
30,0.000255518524736621,7.22781578588183e-06
