indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
861,SNR_0db,MVP,New_MVP_062.wav,20-4,DeepONMF_H2,2,nndsvd,0.3551235838226637,4x212,0.02835040003992617,20,0.2537671353096846,0.2954202935422462,0.024567199987359345,4,0.27390130252279155,0.2730158351978517,0.003002700046636164
862,SNR_0db,MVP,New_MVP_063.wav,20-4,DeepONMF_H2,2,nndsvd,0.33380381077566756,4x212,0.025010500103235245,20,0.2542110362905018,0.29824337488332453,0.021494699991308153,4,0.26995831822815797,0.2605750503316465,0.00270990002900362
863,SNR_0db,MVP,New_MVP_064.wav,20-4,DeepONMF_H2,2,nndsvd,0.332004914825717,4x212,0.02513379999436438,20,0.2515292391692806,0.3101993261345642,0.021728600026108325,4,0.26120179666201737,0.29889994976599005,0.0027175999712198973
864,SNR_0db,MVP,New_MVP_065.wav,20-4,DeepONMF_H2,2,nndsvd,0.3294887064194117,4x212,0.02367909997701645,20,0.2526608494629416,0.30008848044353525,0.0201987000182271,4,0.25801712663815884,0.2810981200855443,0.002710800035856664
865,SNR_0db,MVP,New_MVP_066.wav,20-4,DeepONMF_H2,2,nndsvd,0.33063994445511513,4x212,0.025113000068813562,20,0.25226237792131473,0.2973769541271964,0.021653300034813583,4,0.26185884288649575,0.24439724140164618,0.002775800065137446
866,SNR_0db,MVP,New_MVP_067.wav,20-4,DeepONMF_H2,2,nndsvd,0.32991237925897143,4x212,0.024794400087557733,20,0.24998979471106475,0.2949296812744295,0.021316199912689626,4,0.259488923080682,0.267671616124638,0.002652499941177666
867,SNR_0db,MVP,New_MVP_068.wav,20-4,DeepONMF_H2,2,nndsvd,0.33121541475979505,4x212,0.026041900040581822,20,0.2514884272252923,0.3078580934562936,0.02208060002885759,4,0.26421137404458067,0.3149227300085369,0.003014399902895093
868,SNR_0db,MVP,New_MVP_069.wav,20-4,DeepONMF_H2,2,nndsvd,0.3323812669199454,4x212,0.025107900029979646,20,0.2496308715964487,0.29995664980369485,0.02109360008034855,4,0.26381190248054454,0.2775337571387044,0.002993999980390072
869,SNR_0db,MVP,New_MVP_070.wav,20-4,DeepONMF_H2,2,nndsvd,0.3326159514381217,4x212,0.02782009996008128,20,0.2514654007629759,0.3074004380837852,0.023862099973484874,4,0.2593532338993619,0.3312858925641305,0.003114700084552169
870,SNR_0db,MVP,New_MVP_071.wav,20-4,DeepONMF_H2,2,nndsvd,0.32725962068908254,4x212,0.02452069998253137,20,0.24762337085765349,0.29819197391262786,0.02010530000552535,4,0.2539708654162891,0.34555016693629487,0.0033822000259533525
871,SNR_0db,MVP,New_MVP_072.wav,20-4,DeepONMF_H2,2,nndsvd,0.3368031918858168,4x212,0.02519640000537038,20,0.2529441159095289,0.29839203701096406,0.02086689998395741,4,0.27000312202388776,0.27385520142843905,0.00349649996496737
872,SNR_0db,MVP,New_MVP_073.wav,20-4,DeepONMF_H2,2,nndsvd,0.3294077366096478,4x212,0.025770800071768463,20,0.2512745772599102,0.3016148361542171,0.021551899961195886,4,0.2548741688081014,0.2550350230776938,0.003386999946087599
873,SNR_0db,MVP,New_MVP_074.wav,20-4,DeepONMF_H2,2,nndsvd,0.33498652624238223,4x212,0.024568900000303984,20,0.2512811947322465,0.3064746801413633,0.021088399924337864,4,0.26752500070070745,0.2917112420291928,0.0027149999514222145
874,SNR_0db,MVP,New_MVP_075.wav,20-4,DeepONMF_H2,2,nndsvd,0.32901491400714594,4x212,0.024263100000098348,20,0.25195326899929144,0.306316142091376,0.019586400012485683,4,0.2589358939195649,0.29259339782213495,0.0037037000292912126
875,SNR_0db,MVP,New_MVP_076.wav,20-4,DeepONMF_H2,2,nndsvd,0.3315894440966923,4x212,0.024053300032392144,20,0.24676469412919655,0.2992456717013726,0.02029210003092885,4,0.2676694208483156,0.2914223638070202,0.003038700087927282
876,SNR_0db,MVP,New_MVP_077.wav,20-4,DeepONMF_H2,2,nndsvd,0.32888607450592267,4x212,0.023254600004293025,20,0.2548545778484127,0.3167959404619459,0.019378699944354594,4,0.2559219281484234,0.3039668088645187,0.002994899987243116
877,SNR_0db,MVP,New_MVP_078.wav,20-4,DeepONMF_H2,2,nndsvd,0.32170397058119027,4x212,0.025149799999780953,20,0.2443087413674532,0.3104456336499076,0.021519800066016614,4,0.24702187455559005,0.3126617409440133,0.0027728999266400933
878,SNR_0db,MVP,New_MVP_079.wav,20-4,DeepONMF_H2,2,nndsvd,0.3522275919104812,4x212,0.025746600003913045,20,0.2532314867999196,0.2999455489168586,0.02176319994032383,4,0.2733545110992323,0.25368650843808016,0.0029383000219240785
879,SNR_0db,MVP,New_MVP_080.wav,20-4,DeepONMF_H2,2,nndsvd,0.32972872323059255,4x212,0.026540599996224046,20,0.25172861398378193,0.2982994512949168,0.022952400031499565,4,0.262712159036018,0.2829482292310152,0.002693900023587048
880,SNR_0db,MVP,New_MVP_081.wav,20-4,DeepONMF_H2,2,nndsvd,0.33277677838795966,4x212,0.023832600098103285,20,0.2508474523690709,0.3070346147031036,0.019999800017103553,4,0.26290003999274975,0.3189312241603646,0.002781999995931983
881,SNR_0db,MVP,New_MVP_082.wav,20-4,DeepONMF_H2,2,nndsvd,0.33087825717921904,4x212,0.026752299978397787,20,0.24972221779597653,0.3008590389216475,0.022332800086587667,4,0.2644389402770723,0.2912489041858029,0.0034263000125065446
882,SNR_0db,MVP,New_MVP_083.wav,20-4,DeepONMF_H2,2,nndsvd,0.35491519969925645,4x212,0.025696000084280968,20,0.2535127692590822,0.30131900795153943,0.02111590001732111,4,0.27234030313923413,0.2755583898868525,0.0038228000048547983
883,SNR_0db,MVP,New_MVP_084.wav,20-4,DeepONMF_H2,2,nndsvd,0.3264661132975076,4x212,0.02493069996125996,20,0.24663250527951663,0.29686558427922694,0.021483900025486946,4,0.2546012216423293,0.29556670009757763,0.002720799995586276
884,SNR_0db,MVP,New_MVP_085.wav,20-4,DeepONMF_H2,2,nndsvd,0.32591638702735803,4x212,0.025245900033041835,20,0.2507822566657353,0.3185533598478528,0.021460300078615546,4,0.2532466279313911,0.26847231469291283,0.0030638999305665493
885,SNR_0db,MVP,New_MVP_086.wav,20-4,DeepONMF_H2,2,nndsvd,0.332050665867046,4x212,0.024084700038656592,20,0.2521155909697446,0.31564350333102736,0.020609400002285838,4,0.26225513163234626,0.26361887561524305,0.0027921999571844935
886,SNR_0db,MVP,New_MVP_087.wav,20-4,DeepONMF_H2,2,nndsvd,0.32765454746965383,4x212,0.02313090011011809,20,0.2508205473151463,0.3079675508669709,0.019489799975417554,4,0.2578477009876354,0.24545847616587177,0.002870800090022385
887,SNR_0db,MVP,New_MVP_088.wav,20-4,DeepONMF_H2,2,nndsvd,0.3280746804119817,4x212,0.025354400044307113,20,0.2499868922232041,0.2990912314084557,0.021777100046165287,4,0.25812747974665984,0.2685257683640346,0.0028658999362960458
888,SNR_0db,MVP,New_MVP_089.wav,20-4,DeepONMF_H2,2,nndsvd,0.32700798076714865,4x212,0.02607210003770888,20,0.24956942005868993,0.3040433362254944,0.021940600010566413,4,0.2524477756718712,0.28879375878171537,0.002847100025974214
889,SNR_0db,MVP,New_MVP_090.wav,20-4,DeepONMF_H2,2,nndsvd,0.34507154882504926,4x212,0.025103399995714426,20,0.24799113244515686,0.2942540856152841,0.021584999980404973,4,0.2599560665029858,0.29332515164956346,0.002679400029592216
890,SNR_0db,MVP,New_MVP_091.wav,20-4,DeepONMF_H2,2,nndsvd,0.32593824374031705,4x212,0.024217099999077618,20,0.25006597630361305,0.2994306898269359,0.020148799987509847,4,0.25636912916523696,0.2394403293716637,0.0027300999499857426
891,SNR_0db,MVP,New_MVP_092.wav,20-4,DeepONMF_H2,2,nndsvd,0.32732342494131744,4x212,0.025429500034078956,20,0.25059836532442614,0.29756311911271893,0.021744900033809245,4,0.2569373224984699,0.31889732251837194,0.0027206999948248267
892,SNR_0db,MVP,New_MVP_093.wav,20-4,DeepONMF_H2,2,nndsvd,0.34546770491711176,4x212,0.02577539999037981,20,0.2519185003732533,0.3114776677568373,0.021540399990044534,4,0.2685708627814387,0.344392888721031,0.0033678000327199697
893,SNR_0db,MVP,New_MVP_094.wav,20-4,DeepONMF_H2,2,nndsvd,0.32761666729256267,4x212,0.02457410003989935,20,0.2528421960350927,0.297722206568075,0.021089800051413476,4,0.25548924369913195,0.2708609214884338,0.002754500019364059
894,SNR_0db,MVP,New_MVP_095.wav,20-4,DeepONMF_H2,2,nndsvd,0.3266577798730083,4x212,0.023487000027671456,20,0.24841976396241292,0.30468411376216087,0.01941509998869151,4,0.258265238730625,0.27018224465688484,0.002728699939325452
895,SNR_0db,MVP,New_MVP_096.wav,20-4,DeepONMF_H2,2,nndsvd,0.3330034002010752,4x212,0.02603319997433573,20,0.24978868536677248,0.29723462668898915,0.022111899917945266,4,0.2675845276642621,0.3067312085328297,0.003032499924302101
896,SNR_0db,MVP,New_MVP_097.wav,20-4,DeepONMF_H2,2,nndsvd,0.3305307360331864,4x212,0.025640600011684,20,0.2540220099575477,0.3031778535270872,0.02175020007416606,4,0.25677371183919606,0.30838020637382585,0.0030689999694004655
897,SNR_0db,MVP,New_MVP_098.wav,20-4,DeepONMF_H2,2,nndsvd,0.36714941154725494,4x212,0.02605089999269694,20,0.27070155348298575,0.30639888024796874,0.022577499970793724,4,0.3217239995001072,0.359783281995548,0.0026747999945655465
898,SNR_0db,MVP,New_MVP_099.wav,20-4,DeepONMF_H2,2,nndsvd,0.35306979570727864,4x212,0.025314299971796572,20,0.2661101324641288,0.32627194189687503,0.02132900001015514,4,0.31349818396292833,0.28504531831120083,0.003238299977965653
899,SNR_0db,MVP,New_MVP_100.wav,20-4,DeepONMF_H2,2,nndsvd,0.36537217331697003,4x212,0.024962900090031326,20,0.27028744589377673,0.3220044818445419,0.02086109993979335,4,0.31576467794848573,0.32223841050120333,0.0033759999787434936
900,SNR_0db,MVP,New_MVP_101.wav,20-4,DeepONMF_H2,2,nndsvd,0.35686548981901317,4x212,0.02632940001785755,20,0.2671383560484687,0.32114944028796416,0.02136739995330572,4,0.31412029103971395,0.2821142524423917,0.003789300099015236
901,SNR_0db,MVP,New_MVP_102.wav,20-4,DeepONMF_H2,2,nndsvd,0.3814364554414954,4x212,0.02462429995648563,20,0.27245730844883975,0.3157526843419963,0.021191100007854402,4,0.33326293853324707,0.32277400606887197,0.002765199984423816
902,SNR_0db,MVP,New_MVP_103.wav,20-4,DeepONMF_H2,2,nndsvd,0.3750336168364053,4x212,0.02501540002413094,20,0.2695272173393642,0.31118974435887986,0.02060439996421337,4,0.32536885674151755,0.28214494912431837,0.0035419000778347254
903,SNR_0db,MVP,New_MVP_104.wav,20-4,DeepONMF_H2,2,nndsvd,0.3676206653564581,4x212,0.027492300025187433,20,0.2628839815904078,0.28151684981772335,0.023463800083845854,4,0.30545322924782775,0.21395475578772535,0.003107899916358292
904,SNR_0db,MVP,New_MVP_105.wav,20-4,DeepONMF_H2,2,nndsvd,0.36844586562748344,4x212,0.027884300099685788,20,0.2608905984312129,0.3067641721301298,0.024239500053226948,4,0.31139346163563025,0.29464801975092836,0.002868599956855178
905,SNR_0db,MVP,New_MVP_106.wav,20-4,DeepONMF_H2,2,nndsvd,0.38355459129208747,4x212,0.025385200046002865,20,0.2705878639999855,0.3159237226989268,0.021588800009340048,4,0.32871585843972856,0.34516157119206897,0.0028920999029651284
906,SNR_0db,MVP,New_MVP_107.wav,20-4,DeepONMF_H2,2,nndsvd,0.3837346374172077,4x212,0.025922900065779686,20,0.27429962577108086,0.30322267636777667,0.022249600035138428,4,0.3277337320447345,0.3511033085850916,0.0028454000130295753
907,SNR_0db,MVP,New_MVP_108.wav,20-4,DeepONMF_H2,2,nndsvd,0.3993786193627822,4x212,0.0243483999511227,20,0.27171469383262215,0.29647657185856713,0.02030530001502484,4,0.3411414103822325,0.3106142929908144,0.003293000045232475
908,SNR_0db,MVP,New_MVP_109.wav,20-4,DeepONMF_H2,2,nndsvd,0.3967582356094408,4x212,0.024671999970450997,20,0.27788160923922867,0.2871358288393288,0.02051589998882264,4,0.3691367226501704,0.22520007987618043,0.00342700001783669
909,SNR_0db,MVP,New_MVP_110.wav,20-4,DeepONMF_H2,2,nndsvd,0.4010101253481296,4x212,0.025112099945545197,20,0.2828658940104394,0.2851211144891535,0.021153800073079765,4,0.35979193503723605,0.18132768748673964,0.0028998999623581767
910,SNR_0db,MVP,New_MVP_111.wav,20-4,DeepONMF_H2,2,nndsvd,0.3877490912349237,4x212,0.025842799921520054,20,0.268671492347162,0.30646136966277515,0.02233389997854829,4,0.3434910003894541,0.21783850644892178,0.0027760000666603446
911,SNR_0db,MVP,New_MVP_112.wav,20-4,DeepONMF_H2,2,nndsvd,0.3990277263397664,4x212,0.022717099986039102,20,0.27972301468015304,0.3012849192278257,0.019087300053797662,4,0.3709784329332274,0.2510418972165558,0.00276309996843338
912,SNR_0db,MVP,New_MVP_113.wav,20-4,DeepONMF_H2,2,nndsvd,0.3989568636018183,4x212,0.024875000002793968,20,0.26987888160236123,0.2822775080522687,0.02125629992224276,4,0.3644922191165705,0.24259430874331625,0.002743300050497055
913,SNR_0db,MVP,New_MVP_114.wav,20-4,DeepONMF_H2,2,nndsvd,0.3914456840373911,4x212,0.024791999952867627,20,0.2662029242970262,0.31208712481024226,0.02127569995354861,4,0.35990577710917265,0.2534526636291349,0.0027031999779865146
914,SNR_0db,MVP,New_MVP_115.wav,20-4,DeepONMF_H2,2,nndsvd,0.3922555581352309,4x212,0.02534439996816218,20,0.2804997159634024,0.31382121767995913,0.021679900004528463,4,0.34898561079802354,0.2665068347675938,0.0029545000288635492
915,SNR_0db,MVP,New_MVP_116.wav,20-4,DeepONMF_H2,2,nndsvd,0.38778108463830724,4x212,0.026614399976097047,20,0.2694628754808908,0.299576703998349,0.02253059996291995,4,0.34002608632561093,0.2612949509668596,0.0031027999939396977
916,SNR_0db,MVP,New_MVP_117.wav,20-4,DeepONMF_H2,2,nndsvd,0.3865514412495686,4x212,0.024635000037960708,20,0.26871624810016725,0.3078437232038233,0.02123160008341074,4,0.3533796284692839,0.26367772768540193,0.002739700023084879
917,SNR_0db,MVP,New_MVP_118.wav,20-4,DeepONMF_H2,2,nndsvd,0.38544989769679394,4x212,0.02597419999074191,20,0.2627533518690825,0.2960957913370101,0.02201339998282492,4,0.34195986130371386,0.270414725757888,0.003125400049611926
918,SNR_0db,MVP,New_MVP_119.wav,20-4,DeepONMF_H2,2,nndsvd,0.38487728438437907,4x212,0.024178499937988818,20,0.2706751303923073,0.29547252479178965,0.02056879992596805,4,0.33262897541376796,0.263838937719428,0.002809500088915229
919,SNR_0db,MVP,New_MVP_120.wav,20-4,DeepONMF_H2,2,nndsvd,0.4079980195723954,4x212,0.02343169995583594,20,0.28250456900324755,0.29104969987542006,0.01958100008778274,4,0.37358219529933534,0.24540342007410285,0.002911799936555326
920,SNR_0db,MVP,New_MVP_121.wav,20-4,DeepONMF_H2,2,nndsvd,0.39924884032901503,4x212,0.027765000006183982,20,0.27772684918606505,0.2884197903516589,0.023977300035767257,4,0.3661314167668959,0.25468042687721,0.0027525000041350722
921,SNR_0db,MVP,New_MVP_122.wav,20-4,DeepONMF_H2,2,nndsvd,0.3892544395232461,4x212,0.023231699946336448,20,0.2719227318955158,0.29792255857657707,0.019292699988000095,4,0.34825752783387603,0.23381616880530798,0.002953500021249056
922,SNR_0db,MVP,New_MVP_123.wav,20-4,DeepONMF_H2,2,nndsvd,0.3360557096529584,4x212,0.023934499942697585,20,0.2592405510881659,0.3236924064525574,0.020454600104130805,4,0.2732095474162945,0.3034391058875126,0.0027755999471992254
923,SNR_0db,MVP,New_MVP_124.wav,20-4,DeepONMF_H2,2,nndsvd,0.34237575333305437,4x212,0.023699100012890995,20,0.26471554239511613,0.320008133078261,0.02029040001798421,4,0.282929479499382,0.3372682062252818,0.0027127000503242016
924,SNR_0db,MVP,New_MVP_125.wav,20-4,DeepONMF_H2,2,nndsvd,0.3409142516045271,4x212,0.02513540000654757,20,0.26154864744992606,0.31694337713350146,0.021320499945431948,4,0.28271803942718343,0.3011746778452793,0.0030623000347986817
925,SNR_0db,MVP,New_MVP_126.wav,20-4,DeepONMF_H2,2,nndsvd,0.34207605946028063,4x212,0.02616949996445328,20,0.2617732479852103,0.31599958346220464,0.022306700004264712,4,0.2890786539800781,0.3052198720508184,0.0027972999960184097
926,SNR_0db,MVP,New_MVP_127.wav,20-4,DeepONMF_H2,2,nndsvd,0.33704611581410815,4x212,0.025388999958522618,20,0.25970329865472996,0.3263539892654398,0.021653400035575032,4,0.2806577416086838,0.3293293394440136,0.0027426000451669097
927,SNR_0db,MVP,New_MVP_128.wav,20-4,DeepONMF_H2,2,nndsvd,0.3447784825295348,4x212,0.024472699966281652,20,0.26763381865490765,0.321230921955657,0.020889800041913986,4,0.2857985702674623,0.3064994772113054,0.002727000042796135
928,SNR_0db,MVP,New_MVP_129.wav,20-4,DeepONMF_H2,2,nndsvd,0.33566207814696203,4x212,0.026292200083844364,20,0.2612439839192327,0.3154112079159291,0.02278130000922829,4,0.27466444668874856,0.3402110321557314,0.002751499996520579
929,SNR_0db,MVP,New_MVP_130.wav,20-4,DeepONMF_H2,2,nndsvd,0.3393473649289041,4x212,0.02637550001963973,20,0.2587731748754638,0.3225939403562763,0.02235019998624921,4,0.28090570133974185,0.33023058746390804,0.003131899982690811
930,SNR_0db,MVP,New_MVP_131.wav,20-4,DeepONMF_H2,2,nndsvd,0.34185947496251234,4x212,0.02403930004220456,20,0.2648102904772862,0.3101825828399201,0.020353400032036006,4,0.2796470147471628,0.310149883473081,0.002837599953636527
931,SNR_0db,MVP,New_MVP_132.wav,20-4,DeepONMF_H2,2,nndsvd,0.338807841138129,4x212,0.02409970003645867,20,0.26272872292111304,0.3260586665486614,0.02000150003004819,4,0.2800284137798329,0.31566801891111823,0.002757999929599464
932,SNR_0db,MVP,New_MVP_133.wav,20-4,DeepONMF_H2,2,nndsvd,0.33805427822354117,4x212,0.02599350002128631,20,0.2632957212728363,0.3170017401191967,0.02228339994326234,4,0.280276201314281,0.3054602729951514,0.002736099995672703
933,SNR_0db,MVP,New_MVP_134.wav,20-4,DeepONMF_H2,2,nndsvd,0.3384856911353473,4x212,0.0248421001015231,20,0.263473746593971,0.30966727444831205,0.020631100051105022,4,0.275228464383477,0.29773664771800645,0.0032763000344857574
934,SNR_0db,MVP,New_MVP_135.wav,20-4,DeepONMF_H2,2,nndsvd,0.3353995221412425,4x212,0.024798600003123283,20,0.26007895675087594,0.33066153184422326,0.02118979999795556,4,0.2751792834696036,0.34414526742316615,0.0027721000369638205
935,SNR_0db,MVP,New_MVP_136.wav,20-4,DeepONMF_H2,2,nndsvd,0.3446132969064405,4x212,0.02454010001383722,20,0.2647106576457679,0.3130119203010655,0.0206696999957785,4,0.2870867567575044,0.3110704717709389,0.0028978000627830625
936,SNR_0db,MVP,New_MVP_137.wav,20-4,DeepONMF_H2,2,nndsvd,0.34344704504821927,4x212,0.023580399923957884,20,0.26317951484637464,0.32345282191248487,0.020170100033283234,4,0.2900269718743347,0.3344411476517184,0.0027043999871239066
937,SNR_0db,MVP,New_MVP_138.wav,20-4,DeepONMF_H2,2,nndsvd,0.3344686146005762,4x212,0.024222100037150085,20,0.2565755346644782,0.315397124388726,0.020578499999828637,4,0.2733252566472908,0.30792853226388667,0.002719599986448884
938,SNR_0db,MVP,New_MVP_139.wav,20-4,DeepONMF_H2,2,nndsvd,0.3394654652158937,4x212,0.027731999987736344,20,0.2600420008658231,0.32056467269610806,0.023995299939997494,4,0.28339683110196123,0.2971071893533154,0.002772500040009618
939,SNR_0db,MVP,New_MVP_140.wav,20-4,DeepONMF_H2,2,nndsvd,0.34278606014235197,4x212,0.028136500041000545,20,0.2689144456997365,0.3179068327414011,0.022734800004400313,4,0.28302658609505793,0.30586928806688163,0.004293799982406199
940,SNR_0db,MVP,New_MVP_141.wav,20-4,DeepONMF_H2,2,nndsvd,0.33752413596610004,4x212,0.02555160003248602,20,0.2617895147215542,0.31113439692615336,0.022045799996703863,4,0.27916971949301933,0.32617327795312756,0.002722600009292364
