,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,33,0,3,0,4
real_AS,0,33,6,0,1
real_MR,2,0,35,0,3
real_MS,0,0,4,36,0
real_MVP,2,2,9,1,26
