,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,37,0,0,3,0
real_AS,0,35,1,4,0
real_MR,0,7,29,4,0
real_MS,2,1,0,33,4
real_MVP,10,3,4,1,22
