,N,AS,MR,MS,MVP
N,97.0,0.0,1.0,0.0,2.0
AS,0.0,95.0,3.0,1.5,0.5
MR,0.0,7.5,89.0,3.0,0.5
MS,0.5,1.5,2.5,92.0,3.5000000000000004
MVP,5.5,2.5,1.0,3.0,88.0
