epoca,loss_train,loss_val
1,0.38617523534125403,0.08803976327180862
2,0.16817198512389472,0.05577152222394943
3,0.12042033285404996,0.035502929240465164
4,0.06713114398773637,0.02677679993212223
5,0.04035273648026448,0.017846079543232918
6,0.04263187969301821,0.00976724736392498
7,0.015837842704633277,0.01809946820139885
8,0.024488047700288007,0.03598041832447052
9,0.023778100341779032,0.012701038271188736
10,0.008910437449900966,0.007212091237306595
11,0.002700091782333845,0.012120393104851246
12,0.0036303741731071987,0.003900439478456974
13,0.012149987714990044,0.008581984788179398
14,0.009874048022401152,0.00037175725447013974
15,0.0032251494285166346,0.00016075304301921278
16,0.003444379990431918,0.0028275109361857176
17,0.0015168837143325444,0.0020920387469232082
18,0.003049353389653818,0.0004484987584874034
19,0.0025568069952711134,0.037020906805992126
20,0.0009642616896490614,0.005890158470720053
21,0.003545506536469427,0.007226388435810804
22,0.0007326525916952457,0.011614576913416386
23,0.00014178008864456317,0.018774835392832756
24,0.0009378961018151026,0.017151188105344772
25,0.0040562579933467345,0.021669847890734673
