distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
9-7-3,3,KNN,DeepONMF_H3,1,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
9-7-3,3,KNN,DeepONMF_H3,2,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
9-7-3,3,KNN,DeepONMF_H3,3,155,34,6,5,0.945,0.96875,0.85,0.9627329192546584,0.909375
9-7-3,3,KNN,DeepONMF_H3,4,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
9-7-3,3,KNN,DeepONMF_H3,5,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
9-7-3,3,KNN,DeepONMF_W,1,148,32,8,12,0.9,0.925,0.8,0.9487179487179487,0.8625
9-7-3,3,KNN,DeepONMF_W,2,145,36,4,15,0.905,0.90625,0.9,0.9731543624161074,0.903125
9-7-3,3,KNN,DeepONMF_W,3,149,32,8,11,0.905,0.93125,0.8,0.9490445859872612,0.8656250000000001
9-7-3,3,KNN,DeepONMF_W,4,150,30,10,10,0.9,0.9375,0.75,0.9375,0.84375
9-7-3,3,KNN,DeepONMF_W,5,151,36,4,9,0.935,0.94375,0.9,0.9741935483870968,0.921875
9-7-3,3,SVM,DeepONMF_H3,1,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
9-7-3,3,SVM,DeepONMF_H3,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
9-7-3,3,SVM,DeepONMF_H3,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
9-7-3,3,SVM,DeepONMF_H3,4,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
9-7-3,3,SVM,DeepONMF_H3,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
9-7-3,3,SVM,DeepONMF_W,1,146,39,1,14,0.925,0.9125,0.975,0.9931972789115646,0.94375
9-7-3,3,SVM,DeepONMF_W,2,140,38,2,20,0.89,0.875,0.95,0.9859154929577465,0.9125
9-7-3,3,SVM,DeepONMF_W,3,145,37,3,15,0.91,0.90625,0.925,0.9797297297297297,0.915625
9-7-3,3,SVM,DeepONMF_W,4,146,39,1,14,0.925,0.9125,0.975,0.9931972789115646,0.94375
9-7-3,3,SVM,DeepONMF_W,5,148,37,3,12,0.925,0.925,0.925,0.9801324503311258,0.925
9-7-3,3,UjaNet,DeepONMF_H3,1,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
9-7-3,3,UjaNet,DeepONMF_H3,2,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
9-7-3,3,UjaNet,DeepONMF_H3,3,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
9-7-3,3,UjaNet,DeepONMF_H3,4,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
9-7-3,3,UjaNet,DeepONMF_H3,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
9-7-3,3,UjaNet,DeepONMF_W,1,156,38,2,4,0.97,0.975,0.95,0.9873417721518988,0.9624999999999999
9-7-3,3,UjaNet,DeepONMF_W,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
9-7-3,3,UjaNet,DeepONMF_W,3,155,37,3,5,0.96,0.96875,0.925,0.9810126582278481,0.946875
9-7-3,3,UjaNet,DeepONMF_W,4,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
9-7-3,3,UjaNet,DeepONMF_W,5,158,34,6,2,0.96,0.9875,0.85,0.9634146341463414,0.91875
