clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,39,160,0,1,0.995,0.975,1.0,1.0,0.9875,40
AS,38,160,0,2,0.99,0.95,1.0,1.0,0.975,40
MR,38,157,3,2,0.975,0.95,0.98125,0.926829268292683,0.965625,40
MS,36,157,3,4,0.965,0.9,0.98125,0.9230769230769231,0.940625,40
MVP,38,155,5,2,0.965,0.95,0.96875,0.8837209302325582,0.959375,40
PROMEDIO_MACRO,189,789,11,11,0.978,0.945,0.9862500000000001,0.9467254243204328,0.9656249999999998,200
