,N,AS,MR,MS,MVP
N,92.0,0.0,0.0,3.0,5.0
AS,0.0,93.0,2.0,2.5,2.5
MR,0.5,8.0,82.5,6.5,2.5
MS,3.5000000000000004,3.5000000000000004,1.5,85.0,6.5
MVP,5.5,7.5,5.5,6.5,75.0
