,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,35,0,1,0,4
real_AS,0,39,1,0,0
real_MR,3,2,33,1,1
real_MS,0,0,2,38,0
real_MVP,2,3,1,0,34
