inicializacion,metodo,clase,archivo,ruta,duracion_s,tramas_pcg,columnas_matriz_x,forma_w_final,error_final,segundos,capa1_error,capa1_ortogonalidad,capa1_segundos,capa2_error,capa2_ortogonalidad,capa2_segundos,capa3_error,capa3_ortogonalidad,capa3_segundos
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_095.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_095.wav,2.429,1,212,126x7,0.11263218779908966,0.02804619981907308,0.053829475849261586,0.6358229287745589,0.015230900142341852,0.13322802705215445,0.3356222377683896,0.00618280004709959,0.27429926803949356,0.23482055654730788,0.006096600089222193
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_096.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_096.wav,2.42725,1,212,126x7,0.1285947550333156,0.028904400067403913,0.055446442646983146,0.5833233915069989,0.01506840018555522,0.15267797066000954,0.33244841551653315,0.007075200090184808,0.22419368561875658,0.21855530075191063,0.006202000193297863
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_097.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_097.wav,2.400125,1,212,126x7,0.13485181888485964,0.02927509997971356,0.05712233875784391,0.6293907314703255,0.015411000000312924,0.12826594083546403,0.32942005521171375,0.006730000022798777,0.25502039345664895,0.22680011048962395,0.006519700167700648
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_098.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_098.wav,2.4455,1,212,126x7,0.12520792906651626,0.027069899952039123,0.057406077654425014,0.5814084217308235,0.014488799963146448,0.13333696631077122,0.31752093527259956,0.005993800004944205,0.25281083669067594,0.19388144188034132,0.006167700048536062
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_099.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_099.wav,2.43525,1,212,126x7,0.122095718437467,0.02643080009147525,0.05926958133810528,0.6270798823457819,0.013908199965953827,0.14782434095165384,0.34953291650637686,0.0063038000371307135,0.21772993057238105,0.24026112953471648,0.005825800122693181
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_100.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_100.wav,2.434375,1,212,126x7,0.13064151149594647,0.02607939997687936,0.05958483444100758,0.6152727786728241,0.013586599845439196,0.13127490517427165,0.3187810633695428,0.005828300025314093,0.23534064617872724,0.21218406028664388,0.00622270000167191
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_101.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_101.wav,2.427375,1,212,126x7,0.11069299334815229,0.02640229999087751,0.05255008533096294,0.6021855284116224,0.014234399888664484,0.12654414408705522,0.35952580562274633,0.00594539986923337,0.2163784369967055,0.25827928395642513,0.0058679000940173864
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_102.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_102.wav,2.424125,1,212,126x7,0.12714869257466013,0.02866299985907972,0.05691921932165432,0.6082411256831455,0.013967199949547648,0.1346455824774504,0.32170549069412374,0.0073668998666107655,0.23278915741237402,0.22150606674420711,0.0066380000207573175
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_103.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_103.wav,2.42075,1,212,126x7,0.12631937727401504,0.027149799978360534,0.06274993410402006,0.6479780252594397,0.014666599920019507,0.13502323873754535,0.348412594879994,0.0060819999780505896,0.2554788107601665,0.22767872629469635,0.005950300022959709
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_104.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_104.wav,2.435,1,212,126x7,0.11224666666357569,0.025942299980670214,0.05559772530185983,0.61836896010391,0.013897099997848272,0.13075623987706714,0.3111958276709603,0.005860800156369805,0.23102035915350064,0.1911374566548142,0.005748099880293012
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_105.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_105.wav,2.39125,1,212,126x7,0.10872353305916782,0.026539500104263425,0.057008754035006194,0.6349187634524163,0.013814199948683381,0.12865783413179965,0.3303070823602891,0.0064604999497532845,0.22268899449932023,0.2336472058167929,0.005810900125652552
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_106.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_106.wav,2.41825,1,212,126x7,0.1019024674901556,0.025626800023019314,0.04377782757236874,0.6315918594888691,0.013564799912273884,0.13690451471925882,0.3425109579734256,0.005758600076660514,0.22404609445616688,0.21956227639447254,0.005882600089535117
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_107.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_107.wav,2.384625,1,212,126x7,0.11266623458658304,0.025280500063672662,0.056352332322072096,0.6578798481830339,0.013442900031805038,0.1262173919157496,0.3366111347293624,0.0057027000002563,0.23897078941342662,0.22489205423574257,0.0057535001542419195
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_108.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_108.wav,2.426375,1,212,126x7,0.11236931691015203,0.026232900097966194,0.05174525482492269,0.6388151573481573,0.013623900013044477,0.13601135601199987,0.3782115545240826,0.006356499856337905,0.24165040467710083,0.2644534884689295,0.005808599991723895
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_109.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_109.wav,2.4195,1,212,126x7,0.12699542036258413,0.02532049990259111,0.06993498022032328,0.6070351381493077,0.013443400152027607,0.15286272845468465,0.3384173746003643,0.005642300006002188,0.2234500198736078,0.22189334431967966,0.00577519997023046
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_110.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_110.wav,2.466125,1,212,126x7,0.11182727160346072,0.025245000142604113,0.04845703925510575,0.6328245171537357,0.013409399893134832,0.12550346115763236,0.33924770867905424,0.0057634999975562096,0.23310581063271568,0.22137457227625723,0.005746799986809492
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_111.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_111.wav,2.45575,1,212,126x7,0.11044065654982527,0.02600209997035563,0.04536633676334389,0.6253021029863275,0.013768499949947,0.14484560321140694,0.32952340520717893,0.006033400073647499,0.2174020773099645,0.215651810242196,0.005784100154414773
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_112.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_112.wav,2.437625,1,212,126x7,0.128141441795722,0.025965699926018715,0.06054911193078737,0.6519949666040724,0.013887800043448806,0.13975396452138442,0.35457428808854774,0.005789899965748191,0.236763987744477,0.24326161860143541,0.005749800009652972
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_113.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_113.wav,2.447875,1,212,126x7,0.12675543550361026,0.02536369999870658,0.06488005318507756,0.5964748491939114,0.013600499834865332,0.13230192674792385,0.3330090403483427,0.005693999817594886,0.22104470505564924,0.24344758117633475,0.005727299954742193
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_114.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_114.wav,2.42025,1,212,126x7,0.11747926427941316,0.02579169999808073,0.0563434770907569,0.632259980597545,0.013545199995860457,0.1420296928918672,0.3441329744680841,0.0060981998685747385,0.22402830623214362,0.2331782507788359,0.005747699877247214
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_115.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_115.wav,2.400125,1,212,126x7,0.11978926615109452,0.026078300084918737,0.05639248552291869,0.5859548493367185,0.014032299863174558,0.15980521052027288,0.33395665038105105,0.0058148999232798815,0.22097504288644298,0.22983610921870362,0.005786499939858913
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_116.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_116.wav,2.44325,1,212,126x7,0.10898131753238938,0.026393300155177712,0.049141126367634395,0.6025280719586187,0.013771099969744682,0.13441664112500384,0.3212931228467535,0.006184199824929237,0.2268683915156542,0.22433070864301954,0.005908799823373556
nndsvdar,Deep-ONMF W por audio + NNDSVDar,MS,New_MS_117.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\MS_New_3주기\New_MS_117.wav,2.487875,1,212,126x7,0.1341738777846567,0.028351200046017766,0.05487683176613439,0.6002843388997199,0.015922300051897764,0.14703084481762344,0.333669884906254,0.006126800086349249,0.23726862884180527,0.20398152511057116,0.00583899999037385
