epoca,loss_train,loss_val
1,1.523212216402355,1.290235161781311
2,1.2983398123791343,1.109994888305664
3,1.0509308592269295,0.9043990969657898
4,0.8880430742313987,0.8016085028648376
5,0.8066907925041098,0.7586405873298645
6,0.7221494105301405,0.7257821559906006
7,0.6681871037734183,0.7012296915054321
8,0.5867599331234631,0.6550595760345459
9,0.4931967031014593,0.7419372797012329
10,0.48977476672122355,0.6790321469306946
11,0.4418664696185212,0.6146227121353149
12,0.40353652442756455,0.686919629573822
13,0.39498726729499667,0.5953829884529114
14,0.30311915616651897,0.6091493368148804
15,0.28077572564545433,0.6426032781600952
16,0.28727511443982,0.5268179178237915
17,0.23165655366488194,0.6422393321990967
18,0.27937349990794536,0.7510860562324524
19,0.19070644603159867,0.6169420480728149
20,0.20120012054317876,0.6313198208808899
21,0.17108946425938293,0.5598429441452026
22,0.1246802905378373,0.7011366486549377
23,0.14546137211207105,0.630316436290741
24,0.12108398042619228,0.7277657985687256
25,0.08313881218629449,0.7179966568946838
26,0.07892930833622813,0.7435901761054993
