epoca,loss_train,loss_val
1,1.5851996039089404,1.4655201435089111
2,1.1670893948329122,0.6351194977760315
3,0.7165117601030752,0.46639564633369446
4,0.6783722615555713,0.4081501364707947
5,0.5385665360249972,0.3422713875770569
6,0.48400918276686417,0.32176312804222107
7,0.42546700156832995,0.28341370820999146
8,0.3576245712802598,0.2712542414665222
9,0.3444979946668211,0.2636409103870392
10,0.3247425054249011,0.25865092873573303
11,0.25904441056282895,0.30926692485809326
12,0.3053609477846246,0.2728358805179596
13,0.2559158937319329,0.2448902130126953
14,0.23520950443650546,0.27010378241539
15,0.2621544340723439,0.25237709283828735
16,0.20515229278489164,0.24626049399375916
17,0.17214428711878627,0.3123028576374054
18,0.13981317552296738,0.3106429874897003
19,0.16462215902528873,0.301102876663208
20,0.18182970024645329,0.25461167097091675
21,0.13820293967268968,0.27970579266548157
22,0.12581773330212423,0.24817386269569397
23,0.16293829618217914,0.21317093074321747
24,0.10071481491659622,0.30484893918037415
25,0.09780250411590953,0.3227348029613495
26,0.09980944816121146,0.3485378623008728
27,0.09394560711409308,0.3489299416542053
28,0.07403999740582597,0.35934773087501526
29,0.07370690512624078,0.33104315400123596
30,0.10491476991324146,0.33444878458976746
