indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_5db,N,New_N_001.wav,28-10,DeepONMF_H2,2,0.2536437218613607,10x212,0.02377090009395033,28,0.199053641190866,0.3189915456572565,0.0175052999984473,10,0.4317652252823244,0.12125308627841468,0.005232699913904071
1,SNR_5db,N,New_N_002.wav,28-10,DeepONMF_H2,2,0.2514634603750854,10x212,0.022286699968390167,28,0.1974132709228619,0.30239457321982666,0.017282000044360757,10,0.4572258896656467,0.15041988719359686,0.004036700003780425
2,SNR_5db,N,New_N_003.wav,28-10,DeepONMF_H2,2,0.2569586374329629,10x212,0.021107299951836467,28,0.2006868788035382,0.3009178451777736,0.01665310002863407,10,0.39110552722416925,0.13058657073002802,0.003621299983933568
3,SNR_5db,N,New_N_004.wav,28-10,DeepONMF_H2,2,0.2523596635146172,10x212,0.021828099968843162,28,0.19943260272912136,0.31819565295933677,0.017370700021274388,10,0.4381013725424653,0.13845061231998645,0.003588200081139803
4,SNR_5db,N,New_N_005.wav,28-10,DeepONMF_H2,2,0.2484130208279754,10x212,0.020381900016218424,28,0.1956228917895747,0.2817158311828268,0.015710499952547252,10,0.38365172185506236,0.13983766567300554,0.003943399991840124
5,SNR_5db,N,New_N_006.wav,28-10,DeepONMF_H2,2,0.2547634177105827,10x212,0.022734199999831617,28,0.19166661653959882,0.25720574582491107,0.018460200051777065,10,0.5011341227540562,0.18473417708438847,0.0036033999640494585
6,SNR_5db,N,New_N_007.wav,28-10,DeepONMF_H2,2,0.2668702066183562,10x212,0.020608299993909895,28,0.2002453552347573,0.3135424839211651,0.0158740000333637,10,0.4931236778024263,0.13833416895635034,0.003973399987444282
7,SNR_5db,N,New_N_008.wav,28-10,DeepONMF_H2,2,0.26262393171711523,10x212,0.02265339996665716,28,0.19749903742990127,0.29044099904612913,0.017839499982073903,10,0.44236431571027757,0.13825739728419154,0.0038258000276982784
8,SNR_5db,N,New_N_009.wav,28-10,DeepONMF_H2,2,0.24673689115760397,10x212,0.019551800098270178,28,0.1986443221413107,0.3138896391508391,0.014097799896262586,10,0.3654245410004474,0.14798700809696147,0.004786600009538233
9,SNR_5db,N,New_N_010.wav,28-10,DeepONMF_H2,2,0.2597066243420991,10x212,0.020114999962970614,28,0.19992216935503548,0.3144739182208308,0.015913599985651672,10,0.4296712830715126,0.12688110061777114,0.0035770999966189265
10,SNR_5db,N,New_N_011.wav,28-10,DeepONMF_H2,2,0.2584733481271802,10x212,0.021561200032010674,28,0.20029443426567214,0.3078702211110587,0.017444800003431737,10,0.41872739457083796,0.15171909401053923,0.0035146999871358275
11,SNR_5db,N,New_N_012.wav,28-10,DeepONMF_H2,2,0.25811188496733245,10x212,0.020448500057682395,28,0.19472930987478776,0.2828030729319093,0.014769700006581843,10,0.42399488589241335,0.13205942500437434,0.004976999945938587
12,SNR_5db,N,New_N_013.wav,28-10,DeepONMF_H2,2,0.2529988263313422,10x212,0.019705100101418793,28,0.19458002765272986,0.3019852579487755,0.014793199952691793,10,0.40680156494837716,0.13860784053237737,0.004178000031970441
13,SNR_5db,N,New_N_014.wav,28-10,DeepONMF_H2,2,0.2522386303381493,10x212,0.022111100028268993,28,0.20152379605478085,0.31592547932555853,0.017360599944368005,10,0.4249401376591475,0.12867390680873375,0.0040389999048784375
14,SNR_5db,N,New_N_015.wav,28-10,DeepONMF_H2,2,0.25095497469462713,10x212,0.02190420008264482,28,0.1956251781455345,0.30232788382574505,0.01752450002823025,10,0.4239381124271743,0.17388761764002,0.0037224000552669168
15,SNR_5db,N,New_N_016.wav,28-10,DeepONMF_H2,2,0.25006001345921014,10x212,0.021642700070515275,28,0.20166381307094416,0.32724720626186765,0.016490599955432117,10,0.3915216105813517,0.12704427214158384,0.004239400033839047
16,SNR_5db,N,New_N_017.wav,28-10,DeepONMF_H2,2,0.26381569116972026,10x212,0.021504599950276315,28,0.19665290843970326,0.28230912488561716,0.01649139996152371,10,0.3497349507712904,0.13199116689287177,0.004189500003121793
17,SNR_5db,N,New_N_018.wav,28-10,DeepONMF_H2,2,0.2591825728161539,10x212,0.023379100020974874,28,0.19765684135192604,0.2860695156917542,0.018524300074204803,10,0.4362443983226846,0.16138172437145448,0.004053999902680516
18,SNR_5db,N,New_N_019.wav,28-10,DeepONMF_H2,2,0.2589775212178211,10x212,0.024914100067690015,28,0.20220078423232063,0.3137829033936112,0.019242399954237044,10,0.44506122427049793,0.11560232152381505,0.004788000020198524
