distribucion,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
8-5-3,KNN,DeepONMF_H3,1,4,0,1,0,0.8,1.0,0.0,0.8,0.5
8-5-3,KNN,DeepONMF_H3,2,4,0,1,0,0.8,1.0,0.0,0.8,0.5
8-5-3,KNN,DeepONMF_W,1,4,0,1,0,0.8,1.0,0.0,0.8,0.5
8-5-3,KNN,DeepONMF_W,2,4,1,0,0,1.0,1.0,1.0,1.0,1.0
8-5-3,SVM,DeepONMF_H3,1,4,0,1,0,0.8,1.0,0.0,0.8,0.5
8-5-3,SVM,DeepONMF_H3,2,4,0,1,0,0.8,1.0,0.0,0.8,0.5
8-5-3,SVM,DeepONMF_W,1,4,1,0,0,1.0,1.0,1.0,1.0,1.0
8-5-3,SVM,DeepONMF_W,2,4,1,0,0,1.0,1.0,1.0,1.0,1.0
8-5-3,UjaNet,DeepONMF_H3,1,4,0,1,0,0.8,1.0,0.0,0.8,0.5
8-5-3,UjaNet,DeepONMF_H3,2,4,0,1,0,0.8,1.0,0.0,0.8,0.5
8-5-3,UjaNet,DeepONMF_W,1,4,0,1,0,0.8,1.0,0.0,0.8,0.5
8-5-3,UjaNet,DeepONMF_W,2,4,0,1,0,0.8,1.0,0.0,0.8,0.5
