clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
N,37,159,1,3,0.98,0.925,0.99375,0.9736842105263158,0.9593750000000001,40
AS,40,158,2,0,0.99,1.0,0.9875,0.9523809523809523,0.99375,40
MR,39,153,7,1,0.96,0.975,0.95625,0.8478260869565217,0.965625,40
MS,35,159,1,5,0.97,0.875,0.99375,0.9722222222222222,0.934375,40
MVP,32,154,6,8,0.93,0.8,0.9625,0.8421052631578947,0.8812500000000001,40
PROMEDIO_MACRO,183,783,17,17,0.9659999999999999,0.915,0.97875,0.9176437470487814,0.946875,200
