distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
12-9-3,3,KNN,DeepONMF_H3,1,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
12-9-3,3,KNN,DeepONMF_H3,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
12-9-3,3,KNN,DeepONMF_H3,3,156,35,5,4,0.955,0.975,0.875,0.968944099378882,0.925
12-9-3,3,KNN,DeepONMF_H3,4,156,35,5,4,0.955,0.975,0.875,0.968944099378882,0.925
12-9-3,3,KNN,DeepONMF_H3,5,159,34,6,1,0.965,0.99375,0.85,0.9636363636363636,0.921875
12-9-3,3,KNN,DeepONMF_W,1,147,31,9,13,0.89,0.91875,0.775,0.9423076923076923,0.846875
12-9-3,3,KNN,DeepONMF_W,2,142,36,4,18,0.89,0.8875,0.9,0.9726027397260274,0.89375
12-9-3,3,KNN,DeepONMF_W,3,151,35,5,9,0.93,0.94375,0.875,0.967948717948718,0.909375
12-9-3,3,KNN,DeepONMF_W,4,149,27,13,11,0.88,0.93125,0.675,0.9197530864197531,0.8031250000000001
12-9-3,3,KNN,DeepONMF_W,5,151,32,8,9,0.915,0.94375,0.8,0.949685534591195,0.871875
12-9-3,3,SVM,DeepONMF_H3,1,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
12-9-3,3,SVM,DeepONMF_H3,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
12-9-3,3,SVM,DeepONMF_H3,3,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
12-9-3,3,SVM,DeepONMF_H3,4,156,35,5,4,0.955,0.975,0.875,0.968944099378882,0.925
12-9-3,3,SVM,DeepONMF_H3,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
12-9-3,3,SVM,DeepONMF_W,1,144,39,1,16,0.915,0.9,0.975,0.993103448275862,0.9375
12-9-3,3,SVM,DeepONMF_W,2,142,38,2,18,0.9,0.8875,0.95,0.9861111111111112,0.91875
12-9-3,3,SVM,DeepONMF_W,3,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
12-9-3,3,SVM,DeepONMF_W,4,141,38,2,19,0.895,0.88125,0.95,0.986013986013986,0.9156249999999999
12-9-3,3,SVM,DeepONMF_W,5,147,36,4,13,0.915,0.91875,0.9,0.9735099337748344,0.909375
12-9-3,3,UjaNet,DeepONMF_H3,1,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
12-9-3,3,UjaNet,DeepONMF_H3,2,160,38,2,0,0.99,1.0,0.95,0.9876543209876543,0.975
12-9-3,3,UjaNet,DeepONMF_H3,3,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
12-9-3,3,UjaNet,DeepONMF_H3,4,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
12-9-3,3,UjaNet,DeepONMF_H3,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
12-9-3,3,UjaNet,DeepONMF_W,1,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
12-9-3,3,UjaNet,DeepONMF_W,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
12-9-3,3,UjaNet,DeepONMF_W,3,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
12-9-3,3,UjaNet,DeepONMF_W,4,159,35,5,1,0.97,0.99375,0.875,0.9695121951219512,0.934375
12-9-3,3,UjaNet,DeepONMF_W,5,156,37,3,4,0.965,0.975,0.925,0.9811320754716981,0.95
