base,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
original,DeepONMF_H4,1,PROMEDIO_MACRO,195,795,5,5,0.99,0.975,0.99375,0.976940133037694,0.984375,200
original,DeepONMF_H4,2,PROMEDIO_MACRO,185,785,15,15,0.97,0.925,0.98125,0.9248860923279529,0.953125,200
original,DeepONMF_H4,3,PROMEDIO_MACRO,190,790,10,10,0.9800000000000001,0.95,0.9875,0.9519818345768432,0.96875,200
original,DeepONMF_H4,4,PROMEDIO_MACRO,190,790,10,10,0.9800000000000001,0.95,0.9875,0.9508942490970732,0.96875,200
original,DeepONMF_H4,5,PROMEDIO_MACRO,193,793,7,7,0.986,0.9650000000000001,0.99125,0.9662841601582384,0.978125,200
