,pred_N,pred_AS,pred_MR,pred_MS,pred_MVP
real_N,38,0,0,1,1
real_AS,0,31,2,5,2
real_MR,1,12,26,1,0
real_MS,1,20,2,15,2
real_MVP,10,5,1,4,20
