,N,AS,MR,MS,MVP
N,99.0,0.0,1.0,0.0,0.0
AS,0.0,96.0,2.0,0.5,1.5
MR,0.0,1.0,95.0,2.0,2.0
MS,0.0,0.5,1.0,94.5,4.0
MVP,0.5,1.0,0.5,2.5,95.5
